Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-17cevok8
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.1861, Validation Loss: 1.5677
Epoch 2/1000, Train Loss: 1.3621, Validation Loss: 1.8049
Epoch 3/1000, Train Loss: 1.2975, Validation Loss: 1.3329
Epoch 4/1000, Train Loss: 1.2352, Validation Loss: 1.4062
Epoch 5/1000, Train Loss: 1.2646, Validation Loss: 2.6188
Epoch 6/1000, Train Loss: 1.2452, Validation Loss: 1.3331
Epoch 7/1000, Train Loss: 1.1726, Validation Loss: 2.5866
Epoch 8/1000, Train Loss: 1.1578, Validation Loss: 1.3022
Epoch 9/1000, Train Loss: 1.1827, Validation Loss: 1.7835
Epoch 10/1000, Train Loss: 1.1649, Validation Loss: 2.0220
Epoch 11/1000, Train Loss: 1.1308, Validation Loss: 1.7594
Epoch 12/1000, Train Loss: 1.0514, Validation Loss: 1.2266
Epoch 13/1000, Train Loss: 1.0897, Validation Loss: 1.7067
Epoch 14/1000, Train Loss: 1.0995, Validation Loss: 1.2095
Epoch 15/1000, Train Loss: 1.0270, Validation Loss: 2.0268
Epoch 16/1000, Train Loss: 1.0160, Validation Loss: 1.7971
Epoch 17/1000, Train Loss: 1.0272, Validation Loss: 0.9434
Epoch 18/1000, Train Loss: 1.0128, Validation Loss: 1.5682
Epoch 19/1000, Train Loss: 1.0033, Validation Loss: 2.6648
Epoch 20/1000, Train Loss: 0.9869, Validation Loss: 1.3756
Epoch 21/1000, Train Loss: 0.9367, Validation Loss: 2.4089
Epoch 22/1000, Train Loss: 0.9214, Validation Loss: 1.3829
Epoch 23/1000, Train Loss: 0.9599, Validation Loss: 1.4917
Epoch 24/1000, Train Loss: 0.9457, Validation Loss: 3.1167
Epoch 25/1000, Train Loss: 0.8700, Validation Loss: 1.0452
Epoch 26/1000, Train Loss: 0.8636, Validation Loss: 2.8246
Epoch 27/1000, Train Loss: 0.8178, Validation Loss: 0.9875
Epoch 28/1000, Train Loss: 0.8449, Validation Loss: 0.7931
Epoch 29/1000, Train Loss: 0.8224, Validation Loss: 1.7676
Epoch 30/1000, Train Loss: 0.8097, Validation Loss: 0.8216
Epoch 31/1000, Train Loss: 0.8029, Validation Loss: 0.8230
Epoch 32/1000, Train Loss: 0.8144, Validation Loss: 0.9199
Epoch 33/1000, Train Loss: 0.7838, Validation Loss: 1.1877
Epoch 34/1000, Train Loss: 0.7744, Validation Loss: 2.0657
Epoch 35/1000, Train Loss: 0.7554, Validation Loss: 0.9766
Epoch 36/1000, Train Loss: 0.7252, Validation Loss: 1.3765
Epoch 37/1000, Train Loss: 0.7207, Validation Loss: 1.4127
Epoch 38/1000, Train Loss: 0.7136, Validation Loss: 0.6396
Epoch 39/1000, Train Loss: 0.7236, Validation Loss: 0.6930
Epoch 40/1000, Train Loss: 0.6934, Validation Loss: 1.0264
Epoch 41/1000, Train Loss: 0.6807, Validation Loss: 1.5688
Epoch 42/1000, Train Loss: 0.6955, Validation Loss: 0.9434
Epoch 43/1000, Train Loss: 0.6632, Validation Loss: 1.1614
Epoch 44/1000, Train Loss: 0.6808, Validation Loss: 0.7373
Epoch 45/1000, Train Loss: 0.6693, Validation Loss: 0.6976
Epoch 46/1000, Train Loss: 0.6825, Validation Loss: 1.0131
Epoch 47/1000, Train Loss: 0.6582, Validation Loss: 2.3197
Epoch 48/1000, Train Loss: 0.6552, Validation Loss: 1.0068
Epoch 49/1000, Train Loss: 0.6379, Validation Loss: 0.6717
Epoch 50/1000, Train Loss: 0.6581, Validation Loss: 2.0868
Epoch 51/1000, Train Loss: 0.6480, Validation Loss: 0.7419
Epoch 52/1000, Train Loss: 0.6640, Validation Loss: 1.0573
Epoch 53/1000, Train Loss: 0.6350, Validation Loss: 0.6700
Epoch 54/1000, Train Loss: 0.6531, Validation Loss: 0.6603
Epoch 55/1000, Train Loss: 0.6329, Validation Loss: 0.6523
Epoch 56/1000, Train Loss: 0.6272, Validation Loss: 0.9897
Epoch 57/1000, Train Loss: 0.6220, Validation Loss: 0.6039
Epoch 58/1000, Train Loss: 0.6244, Validation Loss: 0.7734
Epoch 59/1000, Train Loss: 0.6197, Validation Loss: 0.9311
Epoch 60/1000, Train Loss: 0.6052, Validation Loss: 0.8075
Epoch 61/1000, Train Loss: 0.5934, Validation Loss: 1.0970
Epoch 62/1000, Train Loss: 0.6201, Validation Loss: 0.8984
Epoch 63/1000, Train Loss: 0.6185, Validation Loss: 0.5796
Epoch 64/1000, Train Loss: 0.6119, Validation Loss: 0.9794
Epoch 65/1000, Train Loss: 0.6091, Validation Loss: 1.1290
Epoch 66/1000, Train Loss: 0.5914, Validation Loss: 0.8121
Epoch 67/1000, Train Loss: 0.5828, Validation Loss: 0.8753
Epoch 68/1000, Train Loss: 0.5955, Validation Loss: 0.8881
Epoch 69/1000, Train Loss: 0.5832, Validation Loss: 0.9214
Epoch 70/1000, Train Loss: 0.5657, Validation Loss: 0.5860
Epoch 71/1000, Train Loss: 0.6136, Validation Loss: 0.6737
Epoch 72/1000, Train Loss: 0.5830, Validation Loss: 0.6806
Epoch 73/1000, Train Loss: 0.5663, Validation Loss: 0.7544
Epoch 74/1000, Train Loss: 0.5644, Validation Loss: 0.7809
Epoch 75/1000, Train Loss: 0.5707, Validation Loss: 0.5443
Epoch 76/1000, Train Loss: 0.5598, Validation Loss: 0.6237
Epoch 77/1000, Train Loss: 0.5787, Validation Loss: 1.1639
Epoch 78/1000, Train Loss: 0.5580, Validation Loss: 1.7570
Epoch 79/1000, Train Loss: 0.5546, Validation Loss: 2.4008
Epoch 80/1000, Train Loss: 0.5457, Validation Loss: 1.1158
Epoch 81/1000, Train Loss: 0.5614, Validation Loss: 0.8204
Epoch 82/1000, Train Loss: 0.5399, Validation Loss: 0.7302
Epoch 83/1000, Train Loss: 0.5644, Validation Loss: 0.7683
Epoch 84/1000, Train Loss: 0.5366, Validation Loss: 0.5773
Epoch 85/1000, Train Loss: 0.5478, Validation Loss: 1.0601
Epoch 86/1000, Train Loss: 0.5200, Validation Loss: 0.8778
Epoch 87/1000, Train Loss: 0.5349, Validation Loss: 0.6752
Epoch 88/1000, Train Loss: 0.5367, Validation Loss: 0.6906
Epoch 89/1000, Train Loss: 0.5287, Validation Loss: 0.9339
Epoch 90/1000, Train Loss: 0.5204, Validation Loss: 0.8158
Epoch 91/1000, Train Loss: 0.5267, Validation Loss: 0.4807
Epoch 92/1000, Train Loss: 0.5301, Validation Loss: 0.5454
Epoch 93/1000, Train Loss: 0.5169, Validation Loss: 0.6363
Epoch 94/1000, Train Loss: 0.5157, Validation Loss: 0.8206
Epoch 95/1000, Train Loss: 0.5192, Validation Loss: 0.5188
Epoch 96/1000, Train Loss: 0.5284, Validation Loss: 0.7411
Epoch 97/1000, Train Loss: 0.5113, Validation Loss: 0.5712
Epoch 98/1000, Train Loss: 0.5078, Validation Loss: 0.7649
Epoch 99/1000, Train Loss: 0.5025, Validation Loss: 0.6549
Epoch 100/1000, Train Loss: 0.5002, Validation Loss: 1.1689
Epoch 101/1000, Train Loss: 0.5182, Validation Loss: 0.9125
Epoch 102/1000, Train Loss: 0.5023, Validation Loss: 1.1935
Epoch 103/1000, Train Loss: 0.5085, Validation Loss: 0.4796
Epoch 104/1000, Train Loss: 0.5062, Validation Loss: 0.8430
Epoch 105/1000, Train Loss: 0.4918, Validation Loss: 0.7555
Epoch 106/1000, Train Loss: 0.5072, Validation Loss: 1.3824
Epoch 107/1000, Train Loss: 0.4944, Validation Loss: 0.5812
Epoch 108/1000, Train Loss: 0.4979, Validation Loss: 1.1231
Epoch 109/1000, Train Loss: 0.4959, Validation Loss: 0.5995
Epoch 110/1000, Train Loss: 0.4810, Validation Loss: 0.7583
Epoch 111/1000, Train Loss: 0.4874, Validation Loss: 0.4577
Epoch 112/1000, Train Loss: 0.4940, Validation Loss: 0.5229
Epoch 113/1000, Train Loss: 0.5049, Validation Loss: 0.6591
Epoch 114/1000, Train Loss: 0.4893, Validation Loss: 0.6439
Epoch 115/1000, Train Loss: 0.4938, Validation Loss: 0.4702
Epoch 116/1000, Train Loss: 0.4800, Validation Loss: 0.7781
Epoch 117/1000, Train Loss: 0.4748, Validation Loss: 0.6106
Epoch 118/1000, Train Loss: 0.4781, Validation Loss: 0.5011
Epoch 119/1000, Train Loss: 0.4868, Validation Loss: 0.6767
Epoch 120/1000, Train Loss: 0.4841, Validation Loss: 0.5073
Epoch 121/1000, Train Loss: 0.4718, Validation Loss: 0.5023
Epoch 122/1000, Train Loss: 0.4697, Validation Loss: 0.6372
Epoch 123/1000, Train Loss: 0.4737, Validation Loss: 0.4867
Epoch 124/1000, Train Loss: 0.4671, Validation Loss: 0.5508
Epoch 125/1000, Train Loss: 0.4724, Validation Loss: 0.6409
Epoch 126/1000, Train Loss: 0.4622, Validation Loss: 1.8449
Epoch 127/1000, Train Loss: 0.4808, Validation Loss: 0.8855
Epoch 128/1000, Train Loss: 0.4539, Validation Loss: 0.5878
Epoch 129/1000, Train Loss: 0.4641, Validation Loss: 0.6435
Epoch 130/1000, Train Loss: 0.4724, Validation Loss: 0.5523
Epoch 131/1000, Train Loss: 0.4584, Validation Loss: 0.6425
Epoch 132/1000, Train Loss: 0.4677, Validation Loss: 0.9009
Epoch 133/1000, Train Loss: 0.4604, Validation Loss: 0.6325
Epoch 134/1000, Train Loss: 0.4623, Validation Loss: 0.5195
Epoch 135/1000, Train Loss: 0.4602, Validation Loss: 1.0593
Epoch 136/1000, Train Loss: 0.4626, Validation Loss: 1.4291
Epoch 137/1000, Train Loss: 0.4541, Validation Loss: 0.4440
Epoch 138/1000, Train Loss: 0.4474, Validation Loss: 1.4197
Epoch 139/1000, Train Loss: 0.4558, Validation Loss: 0.6596
Epoch 140/1000, Train Loss: 0.4678, Validation Loss: 0.6644
Epoch 141/1000, Train Loss: 0.4550, Validation Loss: 0.6524
Epoch 142/1000, Train Loss: 0.4595, Validation Loss: 0.7227
Epoch 143/1000, Train Loss: 0.4660, Validation Loss: 0.6349
Epoch 144/1000, Train Loss: 0.4495, Validation Loss: 0.4834
Epoch 145/1000, Train Loss: 0.4496, Validation Loss: 0.6644
Epoch 146/1000, Train Loss: 0.4483, Validation Loss: 0.5579
Epoch 147/1000, Train Loss: 0.4486, Validation Loss: 0.5275
