Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-2zziqzib
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 5.6967, Validation Loss: 1.6233
Epoch 2/1000, Train Loss: 1.5172, Validation Loss: 2.4717
Epoch 3/1000, Train Loss: 1.3587, Validation Loss: 2.7803
Epoch 4/1000, Train Loss: 1.1908, Validation Loss: 1.7833
Epoch 5/1000, Train Loss: 1.2139, Validation Loss: 1.7326
Epoch 6/1000, Train Loss: 1.0989, Validation Loss: 1.7393
Epoch 7/1000, Train Loss: 1.0193, Validation Loss: 2.7006
Epoch 8/1000, Train Loss: 0.9973, Validation Loss: 1.3710
Epoch 9/1000, Train Loss: 0.9645, Validation Loss: 0.9879
Epoch 10/1000, Train Loss: 0.9331, Validation Loss: 2.6091
Epoch 11/1000, Train Loss: 0.9478, Validation Loss: 1.2671
Epoch 12/1000, Train Loss: 0.9657, Validation Loss: 0.8838
Epoch 13/1000, Train Loss: 0.8704, Validation Loss: 1.3532
Epoch 14/1000, Train Loss: 0.8358, Validation Loss: 1.2008
Epoch 15/1000, Train Loss: 0.8274, Validation Loss: 1.2332
Epoch 16/1000, Train Loss: 0.8052, Validation Loss: 2.0518
Epoch 17/1000, Train Loss: 0.7889, Validation Loss: 0.7322
Epoch 18/1000, Train Loss: 0.8047, Validation Loss: 1.9534
Epoch 19/1000, Train Loss: 0.7878, Validation Loss: 2.5718
Epoch 20/1000, Train Loss: 0.7682, Validation Loss: 1.7801
Epoch 21/1000, Train Loss: 0.7633, Validation Loss: 0.8396
Epoch 22/1000, Train Loss: 0.7356, Validation Loss: 1.0930
Epoch 23/1000, Train Loss: 0.7098, Validation Loss: 0.6398
Epoch 24/1000, Train Loss: 0.7121, Validation Loss: 0.8805
Epoch 25/1000, Train Loss: 0.7428, Validation Loss: 0.9542
Epoch 26/1000, Train Loss: 0.7211, Validation Loss: 0.6786
