Waiting for sweep ID...
Found Sweep ID: dos27rz7
Starting wandb agent for sweep dos27rz7...
TRAINING DEVICE: cpu
Run Name: GIN_global_hp_sweep_global_dos27rz7-bo30i4d7
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.4009, Validation Loss: 1.8451
Epoch 2/1000, Train Loss: 1.2828, Validation Loss: 1.8696
Epoch 3/1000, Train Loss: 1.1980, Validation Loss: 1.6778
Epoch 4/1000, Train Loss: 1.1456, Validation Loss: 2.5325
Epoch 5/1000, Train Loss: 1.0960, Validation Loss: 1.1790
Epoch 6/1000, Train Loss: 1.0722, Validation Loss: 1.1858
Epoch 7/1000, Train Loss: 1.0183, Validation Loss: 1.7233
Epoch 8/1000, Train Loss: 0.9669, Validation Loss: 1.6224
Epoch 9/1000, Train Loss: 0.9712, Validation Loss: 0.9388
Epoch 10/1000, Train Loss: 0.9323, Validation Loss: 1.2022
Epoch 11/1000, Train Loss: 0.8993, Validation Loss: 0.8768
Epoch 12/1000, Train Loss: 0.8787, Validation Loss: 0.9492
Epoch 13/1000, Train Loss: 0.8747, Validation Loss: 1.2001
Epoch 14/1000, Train Loss: 0.8324, Validation Loss: 0.8273
Epoch 15/1000, Train Loss: 0.8199, Validation Loss: 0.8654
Epoch 16/1000, Train Loss: 0.8059, Validation Loss: 1.0573
Epoch 17/1000, Train Loss: 0.7918, Validation Loss: 1.9660
Epoch 18/1000, Train Loss: 0.8084, Validation Loss: 0.8456
Epoch 19/1000, Train Loss: 0.7868, Validation Loss: 1.4300
Epoch 20/1000, Train Loss: 0.7781, Validation Loss: 1.2509
Epoch 21/1000, Train Loss: 0.7796, Validation Loss: 1.5316
Epoch 22/1000, Train Loss: 0.7613, Validation Loss: 1.2511
Epoch 23/1000, Train Loss: 0.7598, Validation Loss: 3.5278
Epoch 24/1000, Train Loss: 0.7656, Validation Loss: 1.0589
Epoch 25/1000, Train Loss: 0.7601, Validation Loss: 0.8684
Epoch 26/1000, Train Loss: 0.7507, Validation Loss: 1.1093
Epoch 27/1000, Train Loss: 0.7559, Validation Loss: 0.7595
Epoch 28/1000, Train Loss: 0.7272, Validation Loss: 1.2586
Epoch 29/1000, Train Loss: 0.7373, Validation Loss: 1.0586
Epoch 30/1000, Train Loss: 0.7301, Validation Loss: 0.6655
Epoch 31/1000, Train Loss: 0.7334, Validation Loss: 1.0012
Epoch 32/1000, Train Loss: 0.7165, Validation Loss: 0.9095
Epoch 33/1000, Train Loss: 0.7132, Validation Loss: 1.1423
Epoch 34/1000, Train Loss: 0.7100, Validation Loss: 0.7072
Epoch 35/1000, Train Loss: 0.6936, Validation Loss: 0.7723
Epoch 36/1000, Train Loss: 0.7071, Validation Loss: 1.0149
Epoch 37/1000, Train Loss: 0.6953, Validation Loss: 1.1565
Epoch 38/1000, Train Loss: 0.6999, Validation Loss: 0.6657
Epoch 39/1000, Train Loss: 0.6806, Validation Loss: 1.2789
Epoch 40/1000, Train Loss: 0.6914, Validation Loss: 1.2069
Epoch 41/1000, Train Loss: 0.7046, Validation Loss: 0.9337
Epoch 42/1000, Train Loss: 0.6808, Validation Loss: 1.4185
Epoch 43/1000, Train Loss: 0.6777, Validation Loss: 0.8095
Epoch 44/1000, Train Loss: 0.6676, Validation Loss: 0.7869
Epoch 45/1000, Train Loss: 0.6569, Validation Loss: 2.8189
Epoch 46/1000, Train Loss: 0.6697, Validation Loss: 2.8014
Epoch 47/1000, Train Loss: 0.6647, Validation Loss: 1.3029
Epoch 48/1000, Train Loss: 0.6462, Validation Loss: 0.5819
Epoch 49/1000, Train Loss: 0.6426, Validation Loss: 0.6683
Epoch 50/1000, Train Loss: 0.6495, Validation Loss: 1.9243
Epoch 51/1000, Train Loss: 0.6542, Validation Loss: 0.8139
Epoch 52/1000, Train Loss: 0.6398, Validation Loss: 0.7246
Epoch 53/1000, Train Loss: 0.6381, Validation Loss: 1.6073
Epoch 54/1000, Train Loss: 0.6549, Validation Loss: 1.0351
Epoch 55/1000, Train Loss: 0.6354, Validation Loss: 1.1641
Epoch 56/1000, Train Loss: 0.6201, Validation Loss: 0.7100
Epoch 57/1000, Train Loss: 0.6317, Validation Loss: 0.8711
Epoch 58/1000, Train Loss: 0.6367, Validation Loss: 0.9869
Epoch 59/1000, Train Loss: 0.6228, Validation Loss: 0.7904
Epoch 60/1000, Train Loss: 0.6211, Validation Loss: 0.9952
