Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-ridm5b1t
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.0521, Validation Loss: 3.2783
Epoch 2/1000, Train Loss: 1.7776, Validation Loss: 3.4644
Epoch 3/1000, Train Loss: 1.5419, Validation Loss: 16.0839
Epoch 4/1000, Train Loss: 1.7951, Validation Loss: 1.4087
Epoch 5/1000, Train Loss: 1.7090, Validation Loss: 2.4768
Epoch 6/1000, Train Loss: 1.7394, Validation Loss: 7.0634
Epoch 7/1000, Train Loss: 1.8730, Validation Loss: 4.9161
Epoch 8/1000, Train Loss: 1.7729, Validation Loss: 1.9511
Epoch 9/1000, Train Loss: 1.7490, Validation Loss: 1.3459
Epoch 10/1000, Train Loss: 1.6538, Validation Loss: 1.7025
Epoch 11/1000, Train Loss: 1.8737, Validation Loss: 1.4847
Epoch 12/1000, Train Loss: 1.6588, Validation Loss: 4.6474
Epoch 13/1000, Train Loss: 1.4768, Validation Loss: 1.4250
Epoch 14/1000, Train Loss: 1.5665, Validation Loss: 1.7430
Epoch 15/1000, Train Loss: 1.5024, Validation Loss: 2.4720
Epoch 16/1000, Train Loss: 1.4692, Validation Loss: 2.7929
Epoch 17/1000, Train Loss: 1.6383, Validation Loss: 1.7605
Epoch 18/1000, Train Loss: 1.4444, Validation Loss: 2.7705
Epoch 19/1000, Train Loss: 1.3563, Validation Loss: 1.6997
Epoch 20/1000, Train Loss: 1.4311, Validation Loss: 2.3500
Epoch 21/1000, Train Loss: 1.4846, Validation Loss: 1.3092
Epoch 22/1000, Train Loss: 1.4423, Validation Loss: 8.1001
Epoch 23/1000, Train Loss: 1.4848, Validation Loss: 1.9758
Epoch 24/1000, Train Loss: 1.4377, Validation Loss: 5.8315
Epoch 25/1000, Train Loss: 1.4479, Validation Loss: 1.5639
Epoch 26/1000, Train Loss: 1.4627, Validation Loss: 5.8584
Epoch 27/1000, Train Loss: 1.5265, Validation Loss: 5.6262
Epoch 28/1000, Train Loss: 1.3941, Validation Loss: 3.1167
Epoch 29/1000, Train Loss: 1.3667, Validation Loss: 3.8655
Epoch 30/1000, Train Loss: 1.3584, Validation Loss: 1.7515
Epoch 31/1000, Train Loss: 1.3438, Validation Loss: 3.5934
Epoch 32/1000, Train Loss: 1.3070, Validation Loss: 2.3511
Epoch 33/1000, Train Loss: 1.3108, Validation Loss: 3.7077
Epoch 34/1000, Train Loss: 1.3188, Validation Loss: 2.3961
Epoch 35/1000, Train Loss: 1.2519, Validation Loss: 5.6095
Epoch 36/1000, Train Loss: 1.3469, Validation Loss: 2.5928
Epoch 37/1000, Train Loss: 1.3197, Validation Loss: 2.6026
Epoch 38/1000, Train Loss: 1.3037, Validation Loss: 2.1940
Epoch 39/1000, Train Loss: 1.2611, Validation Loss: 3.8238
Epoch 40/1000, Train Loss: 1.2603, Validation Loss: 1.6143
Epoch 41/1000, Train Loss: 1.2571, Validation Loss: 1.3060
Epoch 42/1000, Train Loss: 1.2627, Validation Loss: 3.2643
Epoch 43/1000, Train Loss: 1.2728, Validation Loss: 1.3828
Epoch 44/1000, Train Loss: 1.2826, Validation Loss: 2.0131
Epoch 45/1000, Train Loss: 1.2580, Validation Loss: 3.5336
Epoch 46/1000, Train Loss: 1.3409, Validation Loss: 1.5880
Epoch 47/1000, Train Loss: 1.3047, Validation Loss: 1.7263
Epoch 48/1000, Train Loss: 1.2310, Validation Loss: 1.2255
Epoch 49/1000, Train Loss: 1.1687, Validation Loss: 1.4042
Epoch 50/1000, Train Loss: 1.2013, Validation Loss: 1.2481
Epoch 51/1000, Train Loss: 1.2295, Validation Loss: 3.3205
Epoch 52/1000, Train Loss: 1.2140, Validation Loss: 2.4074
Epoch 53/1000, Train Loss: 1.1907, Validation Loss: 1.3423
Epoch 54/1000, Train Loss: 1.2499, Validation Loss: 2.1136
Epoch 55/1000, Train Loss: 1.2223, Validation Loss: 1.9105
Epoch 56/1000, Train Loss: 1.2411, Validation Loss: 1.2907
Epoch 57/1000, Train Loss: 1.2622, Validation Loss: 1.5076
