Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-i7bdaide
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 1.7328, Validation Loss: 2.9461
Epoch 2/1000, Train Loss: 1.2774, Validation Loss: 1.5442
Epoch 3/1000, Train Loss: 1.1690, Validation Loss: 1.3619
Epoch 4/1000, Train Loss: 1.1175, Validation Loss: 1.8557
Epoch 5/1000, Train Loss: 1.3576, Validation Loss: 1.0633
Epoch 6/1000, Train Loss: 1.3294, Validation Loss: 1.2019
Epoch 7/1000, Train Loss: 1.5697, Validation Loss: 1.4858
Epoch 8/1000, Train Loss: 1.2785, Validation Loss: 1.4672
Epoch 9/1000, Train Loss: 1.2702, Validation Loss: 1.8229
Epoch 10/1000, Train Loss: 1.2918, Validation Loss: 3.3101
Epoch 11/1000, Train Loss: 1.1969, Validation Loss: 1.2026
Epoch 12/1000, Train Loss: 1.1395, Validation Loss: 1.9061
Epoch 13/1000, Train Loss: 1.1302, Validation Loss: 0.9240
Epoch 14/1000, Train Loss: 1.0606, Validation Loss: 1.9447
Epoch 15/1000, Train Loss: 1.0525, Validation Loss: 1.0143
Epoch 16/1000, Train Loss: 1.0298, Validation Loss: 0.9332
Epoch 17/1000, Train Loss: 0.9669, Validation Loss: 1.2925
Epoch 18/1000, Train Loss: 1.1064, Validation Loss: 1.0896
Epoch 19/1000, Train Loss: 1.0010, Validation Loss: 1.0079
Epoch 20/1000, Train Loss: 1.0176, Validation Loss: 1.8323
Epoch 21/1000, Train Loss: 0.9871, Validation Loss: 0.9586
Epoch 22/1000, Train Loss: 0.9215, Validation Loss: 1.8884
Epoch 23/1000, Train Loss: 0.9665, Validation Loss: 1.0431
Epoch 24/1000, Train Loss: 0.9367, Validation Loss: 0.9777
Epoch 25/1000, Train Loss: 0.8834, Validation Loss: 1.4194
Epoch 26/1000, Train Loss: 0.9354, Validation Loss: 1.9420
Epoch 27/1000, Train Loss: 1.0203, Validation Loss: 1.2917
Epoch 28/1000, Train Loss: 0.9722, Validation Loss: 0.9908
Epoch 29/1000, Train Loss: 0.9462, Validation Loss: 1.0234
Epoch 30/1000, Train Loss: 0.8556, Validation Loss: 1.0263
Epoch 31/1000, Train Loss: 0.9517, Validation Loss: 4.6646
Epoch 32/1000, Train Loss: 0.9070, Validation Loss: 0.8412
Epoch 33/1000, Train Loss: 0.8632, Validation Loss: 1.3379
Epoch 34/1000, Train Loss: 0.9058, Validation Loss: 0.8327
Epoch 35/1000, Train Loss: 0.8788, Validation Loss: 1.5906
Epoch 36/1000, Train Loss: 0.9200, Validation Loss: 1.7797
Epoch 37/1000, Train Loss: 0.8453, Validation Loss: 0.8253
Epoch 38/1000, Train Loss: 0.8166, Validation Loss: 0.6999
Epoch 39/1000, Train Loss: 0.8745, Validation Loss: 1.5309
Epoch 40/1000, Train Loss: 0.7582, Validation Loss: 1.2726
Epoch 41/1000, Train Loss: 0.7195, Validation Loss: 0.8067
Epoch 42/1000, Train Loss: 0.7249, Validation Loss: 1.0682
Epoch 43/1000, Train Loss: 0.7136, Validation Loss: 1.1755
Epoch 44/1000, Train Loss: 0.8092, Validation Loss: 1.2884
Epoch 45/1000, Train Loss: 0.7508, Validation Loss: 1.5931
Epoch 46/1000, Train Loss: 0.7861, Validation Loss: 0.8755
Epoch 47/1000, Train Loss: 0.8058, Validation Loss: 1.1435
Epoch 48/1000, Train Loss: 0.7975, Validation Loss: 1.3294
Epoch 49/1000, Train Loss: 0.8384, Validation Loss: 1.0025
Epoch 50/1000, Train Loss: 0.7313, Validation Loss: 0.8738
Epoch 51/1000, Train Loss: 0.7091, Validation Loss: 0.7971
Epoch 52/1000, Train Loss: 0.8408, Validation Loss: 0.9232
Epoch 53/1000, Train Loss: 0.7022, Validation Loss: 0.6906
Epoch 54/1000, Train Loss: 0.7187, Validation Loss: 1.4055
Epoch 55/1000, Train Loss: 0.7577, Validation Loss: 1.3498
Epoch 56/1000, Train Loss: 0.7767, Validation Loss: 0.8929
Epoch 57/1000, Train Loss: 0.7250, Validation Loss: 1.3593
Epoch 58/1000, Train Loss: 0.7299, Validation Loss: 0.7751
Epoch 59/1000, Train Loss: 0.7646, Validation Loss: 1.2641
