Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-g19g65tm
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3226, Validation Loss: 2.0585
Epoch 2/1000, Train Loss: 1.6614, Validation Loss: 2.2493
Epoch 3/1000, Train Loss: 1.5290, Validation Loss: 3.5578
Epoch 4/1000, Train Loss: 1.3665, Validation Loss: 2.8085
Epoch 5/1000, Train Loss: 1.2602, Validation Loss: 1.2937
Epoch 6/1000, Train Loss: 1.1965, Validation Loss: 1.7463
Epoch 7/1000, Train Loss: 1.3222, Validation Loss: 1.3488
Epoch 8/1000, Train Loss: 1.1514, Validation Loss: 1.4090
Epoch 9/1000, Train Loss: 1.2448, Validation Loss: 3.0448
Epoch 10/1000, Train Loss: 1.2268, Validation Loss: 2.2485
Epoch 11/1000, Train Loss: 1.1605, Validation Loss: 1.8633
Epoch 12/1000, Train Loss: 1.0763, Validation Loss: 1.0071
Epoch 13/1000, Train Loss: 1.1116, Validation Loss: 1.1568
Epoch 14/1000, Train Loss: 1.0393, Validation Loss: 1.0383
Epoch 15/1000, Train Loss: 1.1388, Validation Loss: 3.4481
Epoch 16/1000, Train Loss: 1.0957, Validation Loss: 1.0454
Epoch 17/1000, Train Loss: 1.1044, Validation Loss: 1.1702
Epoch 18/1000, Train Loss: 1.0155, Validation Loss: 2.5398
Epoch 19/1000, Train Loss: 1.0276, Validation Loss: 1.2034
Epoch 20/1000, Train Loss: 1.4390, Validation Loss: 1.8027
Epoch 21/1000, Train Loss: 1.6104, Validation Loss: 1.5250
Epoch 22/1000, Train Loss: 0.9966, Validation Loss: 0.9965
Epoch 23/1000, Train Loss: 1.1001, Validation Loss: 1.0678
Epoch 24/1000, Train Loss: 1.2137, Validation Loss: 1.7381
Epoch 25/1000, Train Loss: 1.0785, Validation Loss: 1.2413
Epoch 26/1000, Train Loss: 1.1584, Validation Loss: 1.2411
Epoch 27/1000, Train Loss: 1.3060, Validation Loss: 2.0185
Epoch 28/1000, Train Loss: 1.2983, Validation Loss: 1.1814
Epoch 29/1000, Train Loss: 1.5688, Validation Loss: 1.0772
Epoch 30/1000, Train Loss: 1.1711, Validation Loss: 1.1580
Epoch 31/1000, Train Loss: 1.0472, Validation Loss: 1.1661
Epoch 32/1000, Train Loss: 1.0822, Validation Loss: 1.0100
Epoch 33/1000, Train Loss: 0.9775, Validation Loss: 1.2092
Epoch 34/1000, Train Loss: 1.1845, Validation Loss: 1.1751
Epoch 35/1000, Train Loss: 1.3342, Validation Loss: 1.2677
Epoch 36/1000, Train Loss: 1.0083, Validation Loss: 0.8967
Epoch 37/1000, Train Loss: 0.9681, Validation Loss: 1.1337
Epoch 38/1000, Train Loss: 1.0456, Validation Loss: 1.7367
Epoch 39/1000, Train Loss: 1.2660, Validation Loss: 1.6299
Epoch 40/1000, Train Loss: 1.4140, Validation Loss: 1.4494
Epoch 41/1000, Train Loss: 1.1286, Validation Loss: 1.8138
Epoch 42/1000, Train Loss: 0.9695, Validation Loss: 1.4489
Epoch 43/1000, Train Loss: 1.1580, Validation Loss: 1.7326
Epoch 44/1000, Train Loss: 1.0286, Validation Loss: 1.1066
Epoch 45/1000, Train Loss: 0.9545, Validation Loss: 3.2855
Epoch 46/1000, Train Loss: 0.9369, Validation Loss: 1.0649
Epoch 47/1000, Train Loss: 1.2921, Validation Loss: 2.0718
Epoch 48/1000, Train Loss: 0.9405, Validation Loss: 1.0063
Epoch 49/1000, Train Loss: 1.0209, Validation Loss: 1.3174
Epoch 50/1000, Train Loss: 0.9984, Validation Loss: 3.7449
