Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-jz4w1n07
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 7.4584, Validation Loss: 5.4336
Epoch 2/1000, Train Loss: 2.4166, Validation Loss: 1.6067
Epoch 3/1000, Train Loss: 1.5748, Validation Loss: 1.3849
Epoch 4/1000, Train Loss: 1.3307, Validation Loss: 1.8634
Epoch 5/1000, Train Loss: 1.3691, Validation Loss: 1.1623
Epoch 6/1000, Train Loss: 1.4558, Validation Loss: 1.2123
Epoch 7/1000, Train Loss: 2.3597, Validation Loss: 1.3706
Epoch 8/1000, Train Loss: 1.8892, Validation Loss: 1.3358
Epoch 9/1000, Train Loss: 1.5131, Validation Loss: 2.1973
Epoch 10/1000, Train Loss: 1.8833, Validation Loss: 1.4227
Epoch 11/1000, Train Loss: 1.8307, Validation Loss: 4.3258
Epoch 12/1000, Train Loss: 1.6947, Validation Loss: 1.2798
Epoch 13/1000, Train Loss: 1.7446, Validation Loss: 2.1580
Epoch 14/1000, Train Loss: 1.7997, Validation Loss: 2.1837
Epoch 15/1000, Train Loss: 1.8074, Validation Loss: 4.1161
Epoch 16/1000, Train Loss: 1.7287, Validation Loss: 1.5005
Epoch 17/1000, Train Loss: 1.6873, Validation Loss: 1.6616
Epoch 18/1000, Train Loss: 1.8555, Validation Loss: 2.0618
Epoch 19/1000, Train Loss: 1.5752, Validation Loss: 2.7389
Epoch 20/1000, Train Loss: 1.6734, Validation Loss: 2.2881
Epoch 21/1000, Train Loss: 1.5859, Validation Loss: 1.4307
Epoch 22/1000, Train Loss: 1.6268, Validation Loss: 1.2900
Epoch 23/1000, Train Loss: 1.5801, Validation Loss: 5.5242
Epoch 24/1000, Train Loss: 1.6409, Validation Loss: 1.5518
Epoch 25/1000, Train Loss: 1.5468, Validation Loss: 1.2691
Epoch 26/1000, Train Loss: 1.5231, Validation Loss: 2.0644
Epoch 27/1000, Train Loss: 1.5565, Validation Loss: 3.6390
Epoch 28/1000, Train Loss: 1.5338, Validation Loss: 1.0625
Epoch 29/1000, Train Loss: 1.4909, Validation Loss: 2.4147
Epoch 30/1000, Train Loss: 1.4413, Validation Loss: 1.8179
Epoch 31/1000, Train Loss: 1.4305, Validation Loss: 1.5844
Epoch 32/1000, Train Loss: 1.4912, Validation Loss: 2.1281
Epoch 33/1000, Train Loss: 1.4880, Validation Loss: 2.7561
Epoch 34/1000, Train Loss: 1.3330, Validation Loss: 2.7526
Epoch 35/1000, Train Loss: 1.3227, Validation Loss: 2.5747
Epoch 36/1000, Train Loss: 1.3143, Validation Loss: 2.6836
Epoch 37/1000, Train Loss: 1.3421, Validation Loss: 1.6780
Epoch 38/1000, Train Loss: 1.2902, Validation Loss: 2.9377
Epoch 39/1000, Train Loss: 1.3085, Validation Loss: 2.0360
Epoch 40/1000, Train Loss: 1.3452, Validation Loss: 8.6883
Epoch 41/1000, Train Loss: 1.3196, Validation Loss: 1.7130
Epoch 42/1000, Train Loss: 1.3433, Validation Loss: 4.4058
Epoch 43/1000, Train Loss: 1.3791, Validation Loss: 1.2060
Epoch 44/1000, Train Loss: 1.3983, Validation Loss: 2.0849
Epoch 45/1000, Train Loss: 1.3017, Validation Loss: 2.4305
Epoch 46/1000, Train Loss: 1.3155, Validation Loss: 1.2357
Epoch 47/1000, Train Loss: 1.3005, Validation Loss: 1.6959
Epoch 48/1000, Train Loss: 1.2174, Validation Loss: 1.1265
Epoch 49/1000, Train Loss: 1.2464, Validation Loss: 1.8329
Epoch 50/1000, Train Loss: 1.2394, Validation Loss: 0.9556
Epoch 51/1000, Train Loss: 1.5418, Validation Loss: 1.5415
Epoch 52/1000, Train Loss: 1.3820, Validation Loss: 1.8681
Epoch 53/1000, Train Loss: 1.2954, Validation Loss: 1.2232
Epoch 54/1000, Train Loss: 1.2630, Validation Loss: 1.4951
Epoch 55/1000, Train Loss: 1.2316, Validation Loss: 1.0475
Epoch 56/1000, Train Loss: 1.2786, Validation Loss: 2.2273
Epoch 57/1000, Train Loss: 1.1750, Validation Loss: 1.6021
Epoch 58/1000, Train Loss: 1.2923, Validation Loss: 1.3433
Epoch 59/1000, Train Loss: 1.1838, Validation Loss: 1.6139
Epoch 60/1000, Train Loss: 1.1076, Validation Loss: 1.5128
Epoch 61/1000, Train Loss: 1.2502, Validation Loss: 2.4983
Epoch 62/1000, Train Loss: 1.3405, Validation Loss: 3.2444
Epoch 63/1000, Train Loss: 3.4872, Validation Loss: 3.1007
Epoch 64/1000, Train Loss: 1.3227, Validation Loss: 2.6448
Epoch 65/1000, Train Loss: 1.2841, Validation Loss: 2.1404
Epoch 66/1000, Train Loss: 1.2878, Validation Loss: 1.2405
Epoch 67/1000, Train Loss: 1.2778, Validation Loss: 1.2104
Epoch 68/1000, Train Loss: 1.1715, Validation Loss: 1.0192
Epoch 69/1000, Train Loss: 1.1418, Validation Loss: 2.2743
Epoch 70/1000, Train Loss: 1.2064, Validation Loss: 1.4796
Epoch 71/1000, Train Loss: 1.3521, Validation Loss: 1.4285
Epoch 72/1000, Train Loss: 1.2130, Validation Loss: 1.3177
Epoch 73/1000, Train Loss: 1.2251, Validation Loss: 1.4554
Epoch 74/1000, Train Loss: 1.1595, Validation Loss: 2.6359
Epoch 75/1000, Train Loss: 1.1887, Validation Loss: 2.9749
Epoch 76/1000, Train Loss: 1.1954, Validation Loss: 1.0485
Epoch 77/1000, Train Loss: 1.1871, Validation Loss: 7.2703
Epoch 78/1000, Train Loss: 1.2587, Validation Loss: 1.4102
Epoch 79/1000, Train Loss: 1.2121, Validation Loss: 2.5052
Epoch 80/1000, Train Loss: 1.1747, Validation Loss: 1.4529
Epoch 81/1000, Train Loss: 1.1821, Validation Loss: 1.7471
Epoch 82/1000, Train Loss: 1.2179, Validation Loss: 0.9471
Epoch 83/1000, Train Loss: 1.1340, Validation Loss: 1.9279
Epoch 84/1000, Train Loss: 1.1796, Validation Loss: 1.1706
Epoch 85/1000, Train Loss: 1.1401, Validation Loss: 0.9863
Epoch 86/1000, Train Loss: 1.2775, Validation Loss: 1.1419
Epoch 87/1000, Train Loss: 0.9817, Validation Loss: 1.8936
Epoch 88/1000, Train Loss: 1.1354, Validation Loss: 8.4039
Epoch 89/1000, Train Loss: 1.1645, Validation Loss: 5.0937
Epoch 90/1000, Train Loss: 1.1117, Validation Loss: 1.5861
Epoch 91/1000, Train Loss: 1.0370, Validation Loss: 1.3470
Epoch 92/1000, Train Loss: 1.1069, Validation Loss: 1.7295
Epoch 93/1000, Train Loss: 1.1031, Validation Loss: 1.7368
Epoch 94/1000, Train Loss: 1.1180, Validation Loss: 1.6059
Epoch 95/1000, Train Loss: 1.2307, Validation Loss: 3.1865
Epoch 96/1000, Train Loss: 1.1356, Validation Loss: 2.2894
Epoch 97/1000, Train Loss: 1.1151, Validation Loss: 1.0391
Epoch 98/1000, Train Loss: 17.1228, Validation Loss: 1.4908
Epoch 99/1000, Train Loss: 1.0941, Validation Loss: 1.0116
Epoch 100/1000, Train Loss: 1.1534, Validation Loss: 1.2166
Epoch 101/1000, Train Loss: 1.1372, Validation Loss: 0.8523
Epoch 102/1000, Train Loss: 1.1101, Validation Loss: 1.1751
Epoch 103/1000, Train Loss: 1.0567, Validation Loss: 0.9201
Epoch 104/1000, Train Loss: 1.1783, Validation Loss: 1.9268
Epoch 105/1000, Train Loss: 0.9968, Validation Loss: 1.6216
Epoch 106/1000, Train Loss: 1.0869, Validation Loss: 4.3338
Epoch 107/1000, Train Loss: 1.2785, Validation Loss: 1.2294
Epoch 108/1000, Train Loss: 1.2107, Validation Loss: 1.0984
Epoch 109/1000, Train Loss: 1.1323, Validation Loss: 1.8351
Epoch 110/1000, Train Loss: 1.0872, Validation Loss: 1.7060
Epoch 111/1000, Train Loss: 1.1594, Validation Loss: 1.0807
Epoch 112/1000, Train Loss: 1.2252, Validation Loss: 1.1794
Epoch 113/1000, Train Loss: 1.1144, Validation Loss: 2.0082
Epoch 114/1000, Train Loss: 1.1225, Validation Loss: 2.4455
Epoch 115/1000, Train Loss: 1.0517, Validation Loss: 2.3370
Epoch 116/1000, Train Loss: 1.0282, Validation Loss: 1.8575
Epoch 117/1000, Train Loss: 1.1076, Validation Loss: 2.2795
Epoch 118/1000, Train Loss: 1.1619, Validation Loss: 0.8297
Epoch 119/1000, Train Loss: 1.0957, Validation Loss: 1.2718
Epoch 120/1000, Train Loss: 1.0272, Validation Loss: 2.0206
Epoch 121/1000, Train Loss: 1.0406, Validation Loss: 1.2110
Epoch 122/1000, Train Loss: 1.0209, Validation Loss: 1.1618
Epoch 123/1000, Train Loss: 0.9707, Validation Loss: 1.1214
Epoch 124/1000, Train Loss: 1.1029, Validation Loss: 0.9438
Epoch 125/1000, Train Loss: 1.0162, Validation Loss: 0.8825
Epoch 126/1000, Train Loss: 0.9993, Validation Loss: 1.4310
Epoch 127/1000, Train Loss: 1.1786, Validation Loss: 5.6460
Epoch 128/1000, Train Loss: 1.0807, Validation Loss: 1.6372
Epoch 129/1000, Train Loss: 1.1108, Validation Loss: 1.9145
Epoch 130/1000, Train Loss: 1.1087, Validation Loss: 0.8934
Epoch 131/1000, Train Loss: 1.0720, Validation Loss: 2.6861
Epoch 132/1000, Train Loss: 1.2248, Validation Loss: 1.8405
Epoch 133/1000, Train Loss: 1.1664, Validation Loss: 2.7110
Epoch 134/1000, Train Loss: 1.1254, Validation Loss: 1.6307
Epoch 135/1000, Train Loss: 1.0657, Validation Loss: 1.5375
Epoch 136/1000, Train Loss: 1.1092, Validation Loss: 1.4343
Epoch 137/1000, Train Loss: 1.1453, Validation Loss: 5.9395
Epoch 138/1000, Train Loss: 1.0811, Validation Loss: 2.8934
Epoch 139/1000, Train Loss: 1.0337, Validation Loss: 0.9634
Epoch 140/1000, Train Loss: 1.1331, Validation Loss: 2.4433
Epoch 141/1000, Train Loss: 1.2175, Validation Loss: 1.3972
Epoch 142/1000, Train Loss: 1.0673, Validation Loss: 1.2901
Epoch 143/1000, Train Loss: 1.0507, Validation Loss: 1.2873
Epoch 144/1000, Train Loss: 1.0464, Validation Loss: 2.3872
Epoch 145/1000, Train Loss: 1.0304, Validation Loss: 1.3084
Epoch 146/1000, Train Loss: 1.1490, Validation Loss: 3.3038
Epoch 147/1000, Train Loss: 1.0012, Validation Loss: 0.8392
Epoch 148/1000, Train Loss: 1.1651, Validation Loss: 1.9610
Epoch 149/1000, Train Loss: 1.1160, Validation Loss: 2.0846
Epoch 150/1000, Train Loss: 0.9329, Validation Loss: 1.1991
Epoch 151/1000, Train Loss: 0.8852, Validation Loss: 0.7323
Epoch 152/1000, Train Loss: 1.0147, Validation Loss: 1.1370
Epoch 153/1000, Train Loss: 0.9763, Validation Loss: 1.3464
Epoch 154/1000, Train Loss: 0.9271, Validation Loss: 1.8783
Epoch 155/1000, Train Loss: 1.0974, Validation Loss: 1.3507
Epoch 156/1000, Train Loss: 1.0516, Validation Loss: 0.8770
Epoch 157/1000, Train Loss: 0.9103, Validation Loss: 0.9929
Epoch 158/1000, Train Loss: 1.0529, Validation Loss: 5.4641
Epoch 159/1000, Train Loss: 1.0675, Validation Loss: 1.0591
Epoch 160/1000, Train Loss: 0.9927, Validation Loss: 1.5446
Epoch 161/1000, Train Loss: 1.1047, Validation Loss: 2.4180
Epoch 162/1000, Train Loss: 1.0501, Validation Loss: 1.2854
Epoch 163/1000, Train Loss: 1.0639, Validation Loss: 3.3884
Epoch 164/1000, Train Loss: 1.0680, Validation Loss: 1.0619
Epoch 165/1000, Train Loss: 1.1474, Validation Loss: 1.8840
Epoch 166/1000, Train Loss: 1.1104, Validation Loss: 2.6740
Epoch 167/1000, Train Loss: 1.0335, Validation Loss: 1.1914
Epoch 168/1000, Train Loss: 1.0659, Validation Loss: 1.4317
Epoch 169/1000, Train Loss: 1.0455, Validation Loss: 0.7681
Epoch 170/1000, Train Loss: 1.0899, Validation Loss: 1.0629
Epoch 171/1000, Train Loss: 0.8942, Validation Loss: 1.4359
Epoch 172/1000, Train Loss: 0.9634, Validation Loss: 5.4195
Epoch 173/1000, Train Loss: 0.8169, Validation Loss: 1.4239
Epoch 174/1000, Train Loss: 1.0701, Validation Loss: 0.8657
Epoch 175/1000, Train Loss: 1.1792, Validation Loss: 1.0851
Epoch 176/1000, Train Loss: 1.2445, Validation Loss: 1.3913
Epoch 177/1000, Train Loss: 1.1071, Validation Loss: 0.8188
Epoch 178/1000, Train Loss: 1.1355, Validation Loss: 2.6234
Epoch 179/1000, Train Loss: 0.9775, Validation Loss: 1.6211
Epoch 180/1000, Train Loss: 0.9840, Validation Loss: 0.9591
Epoch 181/1000, Train Loss: 1.0523, Validation Loss: 1.6959
Epoch 182/1000, Train Loss: 1.0329, Validation Loss: 2.1990
Epoch 183/1000, Train Loss: 1.1090, Validation Loss: 1.6232
Epoch 184/1000, Train Loss: 0.8343, Validation Loss: 2.0012
Epoch 185/1000, Train Loss: 1.2148, Validation Loss: 1.0919
Epoch 186/1000, Train Loss: 1.0961, Validation Loss: 3.0447
Epoch 187/1000, Train Loss: 1.1048, Validation Loss: 1.3275
Epoch 188/1000, Train Loss: 1.0038, Validation Loss: 2.1613
Epoch 189/1000, Train Loss: 1.0304, Validation Loss: 7.9253
Epoch 190/1000, Train Loss: 1.0171, Validation Loss: 1.2547
Epoch 191/1000, Train Loss: 1.0298, Validation Loss: 2.3734
Epoch 192/1000, Train Loss: 1.0814, Validation Loss: 1.2299
Epoch 193/1000, Train Loss: 1.0963, Validation Loss: 1.6376
Epoch 194/1000, Train Loss: 1.0809, Validation Loss: 2.5862
Epoch 195/1000, Train Loss: 1.0679, Validation Loss: 1.0602
Epoch 196/1000, Train Loss: 1.1643, Validation Loss: 1.0638
Epoch 197/1000, Train Loss: 1.0214, Validation Loss: 1.1790
Epoch 198/1000, Train Loss: 1.2455, Validation Loss: 1.4006
Epoch 199/1000, Train Loss: 1.1342, Validation Loss: 2.9037
Epoch 200/1000, Train Loss: 1.0848, Validation Loss: 1.3163
Epoch 201/1000, Train Loss: 0.9406, Validation Loss: 2.8677
Epoch 202/1000, Train Loss: 1.2292, Validation Loss: 3.1569
Epoch 203/1000, Train Loss: 1.0929, Validation Loss: 2.1847
Epoch 204/1000, Train Loss: 1.1011, Validation Loss: 1.7550
Epoch 205/1000, Train Loss: 1.1930, Validation Loss: 1.4031
Epoch 206/1000, Train Loss: 1.1231, Validation Loss: 1.0825
Epoch 207/1000, Train Loss: 0.9142, Validation Loss: 1.1921
Epoch 208/1000, Train Loss: 1.1164, Validation Loss: 1.7890
Epoch 209/1000, Train Loss: 1.0559, Validation Loss: 2.4646
Epoch 210/1000, Train Loss: 1.0301, Validation Loss: 1.8005
Epoch 211/1000, Train Loss: 1.0408, Validation Loss: 1.3988
Epoch 212/1000, Train Loss: 1.1662, Validation Loss: 3.6120
Epoch 213/1000, Train Loss: 1.1982, Validation Loss: 1.5232
Epoch 214/1000, Train Loss: 1.1338, Validation Loss: 2.2588
Epoch 215/1000, Train Loss: 0.9187, Validation Loss: 1.8187
Epoch 216/1000, Train Loss: 0.8475, Validation Loss: 3.0251
Epoch 217/1000, Train Loss: 1.0417, Validation Loss: 1.8373
Epoch 218/1000, Train Loss: 1.0092, Validation Loss: 1.6210
Epoch 219/1000, Train Loss: 1.1155, Validation Loss: 1.4600
Epoch 220/1000, Train Loss: 1.1098, Validation Loss: 0.9745
Epoch 221/1000, Train Loss: 1.1060, Validation Loss: 1.9415
Epoch 222/1000, Train Loss: 1.1092, Validation Loss: 1.4649
Epoch 223/1000, Train Loss: 1.2124, Validation Loss: 1.5383
Epoch 224/1000, Train Loss: 0.9640, Validation Loss: 0.8670
Epoch 225/1000, Train Loss: 0.9708, Validation Loss: 1.0527
Epoch 226/1000, Train Loss: 0.9563, Validation Loss: 1.7087
Epoch 227/1000, Train Loss: 0.9539, Validation Loss: 1.2257
Epoch 228/1000, Train Loss: 1.0951, Validation Loss: 2.3571
Epoch 229/1000, Train Loss: 0.9509, Validation Loss: 1.3300
Epoch 230/1000, Train Loss: 1.0108, Validation Loss: 1.6628
Epoch 231/1000, Train Loss: 0.9982, Validation Loss: 0.8925
Epoch 232/1000, Train Loss: 0.9952, Validation Loss: 2.5319
Epoch 233/1000, Train Loss: 1.1435, Validation Loss: 1.7697
Epoch 234/1000, Train Loss: 1.0578, Validation Loss: 1.0552
Epoch 235/1000, Train Loss: 0.9624, Validation Loss: 1.6889
Epoch 236/1000, Train Loss: 0.9404, Validation Loss: 0.7230
Epoch 237/1000, Train Loss: 1.0282, Validation Loss: 1.2112
Epoch 238/1000, Train Loss: 1.1371, Validation Loss: 2.7532
Epoch 239/1000, Train Loss: 1.1156, Validation Loss: 1.7419
Epoch 240/1000, Train Loss: 1.0918, Validation Loss: 4.0331
Epoch 241/1000, Train Loss: 1.0487, Validation Loss: 1.0281
Epoch 242/1000, Train Loss: 1.0270, Validation Loss: 2.3458
Epoch 243/1000, Train Loss: 1.0280, Validation Loss: 2.0861
Epoch 244/1000, Train Loss: 0.9771, Validation Loss: 1.9068
Epoch 245/1000, Train Loss: 0.9635, Validation Loss: 1.9873
Epoch 246/1000, Train Loss: 1.1590, Validation Loss: 0.7410
Epoch 247/1000, Train Loss: 0.9274, Validation Loss: 1.1669
Epoch 248/1000, Train Loss: 0.8534, Validation Loss: 1.9634
Epoch 249/1000, Train Loss: 1.0934, Validation Loss: 1.1788
Epoch 250/1000, Train Loss: 1.0125, Validation Loss: 1.9177
Epoch 251/1000, Train Loss: 1.0169, Validation Loss: 1.8142
Epoch 252/1000, Train Loss: 1.1733, Validation Loss: 1.3389
Epoch 253/1000, Train Loss: 0.9769, Validation Loss: 1.1219
Epoch 254/1000, Train Loss: 0.9129, Validation Loss: 2.5074
Epoch 255/1000, Train Loss: 1.1774, Validation Loss: 2.7728
Epoch 256/1000, Train Loss: 0.9964, Validation Loss: 1.0302
Epoch 257/1000, Train Loss: 0.9453, Validation Loss: 1.2363
Epoch 258/1000, Train Loss: 1.0924, Validation Loss: 1.8891
Epoch 259/1000, Train Loss: 1.0932, Validation Loss: 1.1255
Epoch 260/1000, Train Loss: 1.1515, Validation Loss: 0.8131
Epoch 261/1000, Train Loss: 0.9669, Validation Loss: 0.8256
Epoch 262/1000, Train Loss: 1.0755, Validation Loss: 1.1404
Epoch 263/1000, Train Loss: 1.1033, Validation Loss: 0.9672
Epoch 264/1000, Train Loss: 1.0731, Validation Loss: 0.8948
Epoch 265/1000, Train Loss: 1.0866, Validation Loss: 1.0161
Epoch 266/1000, Train Loss: 1.0418, Validation Loss: 1.5482
Epoch 267/1000, Train Loss: 1.1132, Validation Loss: 1.8845
Epoch 268/1000, Train Loss: 1.0952, Validation Loss: 1.3563
Epoch 269/1000, Train Loss: 1.0642, Validation Loss: 2.3689
Epoch 270/1000, Train Loss: 1.0534, Validation Loss: 1.0684
Epoch 271/1000, Train Loss: 1.1085, Validation Loss: 3.5524
Epoch 272/1000, Train Loss: 0.9447, Validation Loss: 3.6156
Epoch 273/1000, Train Loss: 0.8031, Validation Loss: 0.8575
Epoch 274/1000, Train Loss: 1.3049, Validation Loss: 0.9836
Epoch 275/1000, Train Loss: 1.0874, Validation Loss: 1.1412
Epoch 276/1000, Train Loss: 1.1406, Validation Loss: 1.4534
Epoch 277/1000, Train Loss: 1.0234, Validation Loss: 2.1443
Epoch 278/1000, Train Loss: 1.0642, Validation Loss: 0.8703
Epoch 279/1000, Train Loss: 0.9735, Validation Loss: 1.9629
Epoch 280/1000, Train Loss: 1.0370, Validation Loss: 1.1942
Epoch 281/1000, Train Loss: 0.9580, Validation Loss: 1.0379
Epoch 282/1000, Train Loss: 1.0054, Validation Loss: 1.7198
Epoch 283/1000, Train Loss: 0.9715, Validation Loss: 0.7180
Epoch 284/1000, Train Loss: 0.9876, Validation Loss: 1.6870
Epoch 285/1000, Train Loss: 1.1838, Validation Loss: 2.2344
Epoch 286/1000, Train Loss: 1.2879, Validation Loss: 2.4336
Epoch 287/1000, Train Loss: 1.0773, Validation Loss: 3.3990
