Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-g42lqzz9
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.4149, Validation Loss: 4.7008
Epoch 2/1000, Train Loss: 11.1131, Validation Loss: 2.1016
Epoch 3/1000, Train Loss: 1.4747, Validation Loss: 1.9457
Epoch 4/1000, Train Loss: 4.3604, Validation Loss: 1.7347
Epoch 5/1000, Train Loss: 1.7044, Validation Loss: 1.5266
Epoch 6/1000, Train Loss: 1.5177, Validation Loss: 3.6087
Epoch 7/1000, Train Loss: 2.0841, Validation Loss: 1.4822
Epoch 8/1000, Train Loss: 1.5849, Validation Loss: 4.6249
Epoch 9/1000, Train Loss: 3.9316, Validation Loss: 3.0411
Epoch 10/1000, Train Loss: 1.7309, Validation Loss: 1.6143
Epoch 11/1000, Train Loss: 1.5568, Validation Loss: 1.8495
Epoch 12/1000, Train Loss: 1.5224, Validation Loss: 3.1960
Epoch 13/1000, Train Loss: 1.6430, Validation Loss: 2.3066
Epoch 14/1000, Train Loss: 1.5757, Validation Loss: 1.1679
Epoch 15/1000, Train Loss: 1.5371, Validation Loss: 2.2339
Epoch 16/1000, Train Loss: 1.4232, Validation Loss: 1.5107
Epoch 17/1000, Train Loss: 1.3026, Validation Loss: 1.8894
Epoch 18/1000, Train Loss: 1.2500, Validation Loss: 2.2609
Epoch 19/1000, Train Loss: 1.2940, Validation Loss: 1.3071
Epoch 20/1000, Train Loss: 1.1599, Validation Loss: 1.8775
Epoch 21/1000, Train Loss: 1.1994, Validation Loss: 1.7644
Epoch 22/1000, Train Loss: 1.1354, Validation Loss: 1.0689
Epoch 23/1000, Train Loss: 1.1015, Validation Loss: 1.4367
Epoch 24/1000, Train Loss: 1.1979, Validation Loss: 1.8320
Epoch 25/1000, Train Loss: 1.1119, Validation Loss: 1.0436
Epoch 26/1000, Train Loss: 0.9695, Validation Loss: 2.2417
