Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-4fdack1c
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.6816, Validation Loss: 1.8073
Epoch 2/1000, Train Loss: 2.6005, Validation Loss: 2.1863
Epoch 3/1000, Train Loss: 1.6278, Validation Loss: 2.8070
Epoch 4/1000, Train Loss: 13.4523, Validation Loss: 6.3413
Epoch 5/1000, Train Loss: 1.6080, Validation Loss: 1.3156
Epoch 6/1000, Train Loss: 1.8825, Validation Loss: 12.1796
Epoch 7/1000, Train Loss: 1.6730, Validation Loss: 3.2161
Epoch 8/1000, Train Loss: 1.7307, Validation Loss: 6.6441
Epoch 9/1000, Train Loss: 1.6326, Validation Loss: 1.4233
Epoch 10/1000, Train Loss: 1.5765, Validation Loss: 2.8262
Epoch 11/1000, Train Loss: 10.5719, Validation Loss: 2.2282
Epoch 12/1000, Train Loss: 1.5370, Validation Loss: 1.9788
Epoch 13/1000, Train Loss: 1.4410, Validation Loss: 1.3860
Epoch 14/1000, Train Loss: 1.3318, Validation Loss: 2.3381
Epoch 15/1000, Train Loss: 1.2389, Validation Loss: 1.5699
Epoch 16/1000, Train Loss: 1.3767, Validation Loss: 2.2415
Epoch 17/1000, Train Loss: 1.3819, Validation Loss: 2.0003
Epoch 18/1000, Train Loss: 1.2011, Validation Loss: 1.6592
Epoch 19/1000, Train Loss: 1.1092, Validation Loss: 1.8388
Epoch 20/1000, Train Loss: 1.3274, Validation Loss: 1.6285
Epoch 21/1000, Train Loss: 1.5197, Validation Loss: 4.6107
Epoch 22/1000, Train Loss: 1.3218, Validation Loss: 2.9969
Epoch 23/1000, Train Loss: 1.1812, Validation Loss: 4.8735
Epoch 24/1000, Train Loss: 1.3057, Validation Loss: 2.4409
Epoch 25/1000, Train Loss: 1.1507, Validation Loss: 1.2080
Epoch 26/1000, Train Loss: 1.1354, Validation Loss: 3.4117
Epoch 27/1000, Train Loss: 1.4916, Validation Loss: 2.1755
Epoch 28/1000, Train Loss: 1.2726, Validation Loss: 1.3571
Epoch 29/1000, Train Loss: 1.2805, Validation Loss: 2.8339
Epoch 30/1000, Train Loss: 1.2218, Validation Loss: 1.4548
Epoch 31/1000, Train Loss: 1.2137, Validation Loss: 1.6121
Epoch 32/1000, Train Loss: 1.3336, Validation Loss: 1.8267
Epoch 33/1000, Train Loss: 1.1676, Validation Loss: 1.2925
Epoch 34/1000, Train Loss: 1.2179, Validation Loss: 1.3081
Epoch 35/1000, Train Loss: 1.1670, Validation Loss: 2.2916
Epoch 36/1000, Train Loss: 1.1272, Validation Loss: 1.6936
Epoch 37/1000, Train Loss: 1.1116, Validation Loss: 3.1326
Epoch 38/1000, Train Loss: 1.1491, Validation Loss: 1.9405
Epoch 39/1000, Train Loss: 1.1227, Validation Loss: 6.1158
Epoch 40/1000, Train Loss: 1.0642, Validation Loss: 4.2280
Epoch 41/1000, Train Loss: 1.0824, Validation Loss: 2.2020
Epoch 42/1000, Train Loss: 1.0579, Validation Loss: 4.9470
Epoch 43/1000, Train Loss: 1.1473, Validation Loss: 1.0262
Epoch 44/1000, Train Loss: 1.0093, Validation Loss: 1.3645
Epoch 45/1000, Train Loss: 1.0732, Validation Loss: 2.8243
Epoch 46/1000, Train Loss: 1.0093, Validation Loss: 2.2896
Epoch 47/1000, Train Loss: 1.0514, Validation Loss: 1.7717
Epoch 48/1000, Train Loss: 1.0566, Validation Loss: 1.6414
Epoch 49/1000, Train Loss: 1.0417, Validation Loss: 1.9898
Epoch 50/1000, Train Loss: 1.0667, Validation Loss: 1.1770
Epoch 51/1000, Train Loss: 1.0619, Validation Loss: 2.4998
Epoch 52/1000, Train Loss: 1.0099, Validation Loss: 0.8475
Epoch 53/1000, Train Loss: 1.0171, Validation Loss: 3.7823
Epoch 54/1000, Train Loss: 0.9898, Validation Loss: 0.9926
Epoch 55/1000, Train Loss: 1.0274, Validation Loss: 1.8934
Epoch 56/1000, Train Loss: 1.0721, Validation Loss: 1.7764
Epoch 57/1000, Train Loss: 0.9804, Validation Loss: 6.7820
Epoch 58/1000, Train Loss: 1.0781, Validation Loss: 1.5520
Epoch 59/1000, Train Loss: 1.0415, Validation Loss: 1.6738
Epoch 60/1000, Train Loss: 1.0363, Validation Loss: 1.5175
Epoch 61/1000, Train Loss: 0.9316, Validation Loss: 2.9419
Epoch 62/1000, Train Loss: 1.0636, Validation Loss: 0.8957
Epoch 63/1000, Train Loss: 1.0268, Validation Loss: 0.9138
Epoch 64/1000, Train Loss: 1.0932, Validation Loss: 1.6604
Epoch 65/1000, Train Loss: 1.0093, Validation Loss: 1.1584
Epoch 66/1000, Train Loss: 1.0473, Validation Loss: 0.9147
Epoch 67/1000, Train Loss: 1.0100, Validation Loss: 3.0818
Epoch 68/1000, Train Loss: 1.0364, Validation Loss: 1.1040
Epoch 69/1000, Train Loss: 0.9825, Validation Loss: 1.3432
Epoch 70/1000, Train Loss: 0.9797, Validation Loss: 1.0427
Epoch 71/1000, Train Loss: 0.9309, Validation Loss: 1.1467
Epoch 72/1000, Train Loss: 1.0208, Validation Loss: 1.3072
Epoch 73/1000, Train Loss: 1.0433, Validation Loss: 0.9820
Epoch 74/1000, Train Loss: 0.9736, Validation Loss: 1.6616
Epoch 75/1000, Train Loss: 0.9913, Validation Loss: 1.5572
Epoch 76/1000, Train Loss: 0.8618, Validation Loss: 2.5516
Epoch 77/1000, Train Loss: 0.9170, Validation Loss: 0.8311
Epoch 78/1000, Train Loss: 0.9029, Validation Loss: 1.4451
Epoch 79/1000, Train Loss: 0.8557, Validation Loss: 1.2602
Epoch 80/1000, Train Loss: 0.9723, Validation Loss: 0.8924
Epoch 81/1000, Train Loss: 0.8657, Validation Loss: 1.2003
Epoch 82/1000, Train Loss: 0.8717, Validation Loss: 1.0165
Epoch 83/1000, Train Loss: 0.9314, Validation Loss: 0.8358
Epoch 84/1000, Train Loss: 0.9424, Validation Loss: 1.2885
Epoch 85/1000, Train Loss: 0.9045, Validation Loss: 2.8278
Epoch 86/1000, Train Loss: 0.8335, Validation Loss: 1.1917
Epoch 87/1000, Train Loss: 0.9239, Validation Loss: 2.3885
Epoch 88/1000, Train Loss: 0.8429, Validation Loss: 1.6352
Epoch 89/1000, Train Loss: 0.9138, Validation Loss: 3.7383
Epoch 90/1000, Train Loss: 0.9272, Validation Loss: 0.8590
Epoch 91/1000, Train Loss: 0.8845, Validation Loss: 0.8451
Epoch 92/1000, Train Loss: 0.8834, Validation Loss: 0.8904
Epoch 93/1000, Train Loss: 0.9240, Validation Loss: 1.0332
Epoch 94/1000, Train Loss: 0.9182, Validation Loss: 2.0097
Epoch 95/1000, Train Loss: 0.9604, Validation Loss: 1.9861
Epoch 96/1000, Train Loss: 0.9622, Validation Loss: 1.4962
Epoch 97/1000, Train Loss: 0.9678, Validation Loss: 2.3715
Epoch 98/1000, Train Loss: 0.9469, Validation Loss: 5.0888
Epoch 99/1000, Train Loss: 0.9289, Validation Loss: 2.6964
Epoch 100/1000, Train Loss: 0.9224, Validation Loss: 2.0761
Epoch 101/1000, Train Loss: 0.9033, Validation Loss: 0.8629
Epoch 102/1000, Train Loss: 0.9256, Validation Loss: 1.3622
Epoch 103/1000, Train Loss: 0.9002, Validation Loss: 2.0228
Epoch 104/1000, Train Loss: 0.9176, Validation Loss: 1.7121
Epoch 105/1000, Train Loss: 0.9468, Validation Loss: 6.4873
Epoch 106/1000, Train Loss: 0.9527, Validation Loss: 1.4292
Epoch 107/1000, Train Loss: 0.9746, Validation Loss: 0.7529
Epoch 108/1000, Train Loss: 0.9345, Validation Loss: 2.6557
Epoch 109/1000, Train Loss: 0.9382, Validation Loss: 0.9982
Epoch 110/1000, Train Loss: 0.9312, Validation Loss: 0.9888
Epoch 111/1000, Train Loss: 0.9087, Validation Loss: 2.5263
Epoch 112/1000, Train Loss: 0.9141, Validation Loss: 0.7233
Epoch 113/1000, Train Loss: 0.9450, Validation Loss: 1.8691
Epoch 114/1000, Train Loss: 0.8968, Validation Loss: 1.0148
Epoch 115/1000, Train Loss: 0.8698, Validation Loss: 1.8915
Epoch 116/1000, Train Loss: 0.8255, Validation Loss: 1.7272
Epoch 117/1000, Train Loss: 0.8475, Validation Loss: 0.9049
Epoch 118/1000, Train Loss: 0.8343, Validation Loss: 1.1342
Epoch 119/1000, Train Loss: 0.8299, Validation Loss: 1.3304
Epoch 120/1000, Train Loss: 0.8796, Validation Loss: 2.3630
Epoch 121/1000, Train Loss: 0.8836, Validation Loss: 0.9711
Epoch 122/1000, Train Loss: 0.8811, Validation Loss: 2.4122
Epoch 123/1000, Train Loss: 0.9035, Validation Loss: 1.2890
Epoch 124/1000, Train Loss: 0.9118, Validation Loss: 1.6565
