Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-jz74n7v6
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.5054, Validation Loss: 1.3940
Epoch 2/1000, Train Loss: 1.5326, Validation Loss: 1.3013
Epoch 3/1000, Train Loss: 1.4284, Validation Loss: 1.4817
Epoch 4/1000, Train Loss: 1.6349, Validation Loss: 2.3184
Epoch 5/1000, Train Loss: 1.9381, Validation Loss: 1.6965
Epoch 6/1000, Train Loss: 1.4119, Validation Loss: 2.4148
Epoch 7/1000, Train Loss: 1.5026, Validation Loss: 3.6232
Epoch 8/1000, Train Loss: 1.5056, Validation Loss: 1.7300
Epoch 9/1000, Train Loss: 1.7095, Validation Loss: 2.6178
Epoch 10/1000, Train Loss: 1.9955, Validation Loss: 3.4916
Epoch 11/1000, Train Loss: 3.2823, Validation Loss: 10.1615
Epoch 12/1000, Train Loss: 5.5728, Validation Loss: 1.5486
Epoch 13/1000, Train Loss: 1.3380, Validation Loss: 1.9635
Epoch 14/1000, Train Loss: 1.4737, Validation Loss: 1.7892
Epoch 15/1000, Train Loss: 1.5130, Validation Loss: 2.2106
Epoch 16/1000, Train Loss: 1.3652, Validation Loss: 1.9091
Epoch 17/1000, Train Loss: 1.4123, Validation Loss: 1.4381
Epoch 18/1000, Train Loss: 1.4323, Validation Loss: 2.4672
Epoch 19/1000, Train Loss: 2.6108, Validation Loss: 3.8177
Epoch 20/1000, Train Loss: 1.4813, Validation Loss: 2.6053
Epoch 21/1000, Train Loss: 1.4642, Validation Loss: 1.9059
Epoch 22/1000, Train Loss: 1.5726, Validation Loss: 7.8325
Epoch 23/1000, Train Loss: 1.7048, Validation Loss: 3.6937
Epoch 24/1000, Train Loss: 1.4909, Validation Loss: 1.2307
Epoch 25/1000, Train Loss: 1.4441, Validation Loss: 1.1613
Epoch 26/1000, Train Loss: 1.2946, Validation Loss: 1.4233
Epoch 27/1000, Train Loss: 1.2978, Validation Loss: 6.2816
Epoch 28/1000, Train Loss: 1.2747, Validation Loss: 1.5167
Epoch 29/1000, Train Loss: 1.1402, Validation Loss: 2.3769
Epoch 30/1000, Train Loss: 1.0999, Validation Loss: 1.1364
Epoch 31/1000, Train Loss: 1.0503, Validation Loss: 1.0694
Epoch 32/1000, Train Loss: 1.0174, Validation Loss: 0.8536
Epoch 33/1000, Train Loss: 0.9223, Validation Loss: 3.5310
Epoch 34/1000, Train Loss: 0.9652, Validation Loss: 1.3584
Epoch 35/1000, Train Loss: 0.9223, Validation Loss: 2.5746
Epoch 36/1000, Train Loss: 0.9244, Validation Loss: 0.9711
Epoch 37/1000, Train Loss: 1.6269, Validation Loss: 2.4099
Epoch 38/1000, Train Loss: 1.2989, Validation Loss: 2.2592
Epoch 39/1000, Train Loss: 1.0119, Validation Loss: 3.4192
Epoch 40/1000, Train Loss: 0.9048, Validation Loss: 1.3153
Epoch 41/1000, Train Loss: 1.4222, Validation Loss: 1.7703
Epoch 42/1000, Train Loss: 1.2999, Validation Loss: 0.9919
Epoch 43/1000, Train Loss: 1.1510, Validation Loss: 5.4410
Epoch 44/1000, Train Loss: 1.1586, Validation Loss: 3.8677
Epoch 45/1000, Train Loss: 1.0420, Validation Loss: 1.3909
Epoch 46/1000, Train Loss: 1.0409, Validation Loss: 1.6964
Epoch 47/1000, Train Loss: 1.0730, Validation Loss: 1.3918
Epoch 48/1000, Train Loss: 1.0699, Validation Loss: 0.9971
Epoch 49/1000, Train Loss: 1.3121, Validation Loss: 2.4672
Epoch 50/1000, Train Loss: 1.1572, Validation Loss: 2.1372
Epoch 51/1000, Train Loss: 1.3606, Validation Loss: 5.0878
Epoch 52/1000, Train Loss: 1.7087, Validation Loss: 3.2822
Epoch 53/1000, Train Loss: 1.1881, Validation Loss: 1.2595
Epoch 54/1000, Train Loss: 1.2065, Validation Loss: 1.1612
Epoch 55/1000, Train Loss: 1.0303, Validation Loss: 1.7305
Epoch 56/1000, Train Loss: 1.0188, Validation Loss: 0.8526
Epoch 57/1000, Train Loss: 1.0663, Validation Loss: 1.6902
Epoch 58/1000, Train Loss: 1.0277, Validation Loss: 1.8948
Epoch 59/1000, Train Loss: 0.9107, Validation Loss: 0.8432
Epoch 60/1000, Train Loss: 1.0481, Validation Loss: 1.0390
Epoch 61/1000, Train Loss: 1.0212, Validation Loss: 6.0126
Epoch 62/1000, Train Loss: 1.0591, Validation Loss: 3.0853
Epoch 63/1000, Train Loss: 1.0989, Validation Loss: 2.7191
Epoch 64/1000, Train Loss: 1.0327, Validation Loss: 7.5846
Epoch 65/1000, Train Loss: 1.0038, Validation Loss: 1.6446
Epoch 66/1000, Train Loss: 1.1535, Validation Loss: 1.3770
Epoch 67/1000, Train Loss: 1.0658, Validation Loss: 3.7647
Epoch 68/1000, Train Loss: 1.0535, Validation Loss: 0.8727
Epoch 69/1000, Train Loss: 1.0491, Validation Loss: 1.8876
Epoch 70/1000, Train Loss: 1.1967, Validation Loss: 1.7726
Epoch 71/1000, Train Loss: 1.0476, Validation Loss: 4.2736
Epoch 72/1000, Train Loss: 0.9108, Validation Loss: 1.4828
Epoch 73/1000, Train Loss: 0.9463, Validation Loss: 0.8147
Epoch 74/1000, Train Loss: 0.9890, Validation Loss: 1.8491
Epoch 75/1000, Train Loss: 0.9223, Validation Loss: 3.2738
Epoch 76/1000, Train Loss: 0.9254, Validation Loss: 2.5872
Epoch 77/1000, Train Loss: 0.9504, Validation Loss: 4.5458
Epoch 78/1000, Train Loss: 0.9452, Validation Loss: 1.1307
Epoch 79/1000, Train Loss: 0.9806, Validation Loss: 1.0427
Epoch 80/1000, Train Loss: 0.9844, Validation Loss: 0.9812
