Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-cj4esim6
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 8.3741, Validation Loss: 8.3394
Epoch 2/1000, Train Loss: 7.8822, Validation Loss: 6.0896
Epoch 3/1000, Train Loss: 6.4388, Validation Loss: 6.1122
Epoch 4/1000, Train Loss: 6.3332, Validation Loss: 6.1021
Epoch 5/1000, Train Loss: 3.2933, Validation Loss: 6.4214
Epoch 6/1000, Train Loss: 1.8374, Validation Loss: 6.3088
Epoch 7/1000, Train Loss: 2.6930, Validation Loss: 2.0570
Epoch 8/1000, Train Loss: 1532.6686, Validation Loss: 1.4641
Epoch 9/1000, Train Loss: 1.9369, Validation Loss: 2.0639
Epoch 10/1000, Train Loss: 1.8899, Validation Loss: 2.2072
Epoch 11/1000, Train Loss: 14337.1840, Validation Loss: 6.3943
Epoch 12/1000, Train Loss: 4.2206, Validation Loss: 3.4698
Epoch 13/1000, Train Loss: 1.7337, Validation Loss: 2.2661
Epoch 14/1000, Train Loss: 2.1565, Validation Loss: 1.6431
Epoch 15/1000, Train Loss: 1007.3675, Validation Loss: 21763.5166
Epoch 16/1000, Train Loss: 160.4799, Validation Loss: 6.0691
Epoch 17/1000, Train Loss: 2.9388, Validation Loss: 1.5521
Epoch 18/1000, Train Loss: 3.2158, Validation Loss: 2.5869
Epoch 19/1000, Train Loss: 1.3597, Validation Loss: 2.1741
Epoch 20/1000, Train Loss: 2.8181, Validation Loss: 1.7605
Epoch 21/1000, Train Loss: 17.1338, Validation Loss: 1.9616
Epoch 22/1000, Train Loss: 3.3888, Validation Loss: 1.4111
Epoch 23/1000, Train Loss: 7.0129, Validation Loss: 1.6899
Epoch 24/1000, Train Loss: 1.2771, Validation Loss: 3.4459
Epoch 25/1000, Train Loss: 4.8259, Validation Loss: 2.6151
Epoch 26/1000, Train Loss: 1.6453, Validation Loss: 2.4728
Epoch 27/1000, Train Loss: 2.0139, Validation Loss: 6.7226
Epoch 28/1000, Train Loss: 1.6100, Validation Loss: 1.3922
Epoch 29/1000, Train Loss: 1.5521, Validation Loss: 1.2526
Epoch 30/1000, Train Loss: 1.9886, Validation Loss: 8.0655
Epoch 31/1000, Train Loss: 2.6335, Validation Loss: 2.8197
Epoch 32/1000, Train Loss: 536.5819, Validation Loss: 6.4794
Epoch 33/1000, Train Loss: 2.7127, Validation Loss: 1.4136
Epoch 34/1000, Train Loss: 1.6083, Validation Loss: 1.4534
Epoch 35/1000, Train Loss: 1.5331, Validation Loss: 3.2690
Epoch 36/1000, Train Loss: 1.5112, Validation Loss: 2.0653
Epoch 37/1000, Train Loss: 2.2994, Validation Loss: 1.6581
