Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-jwg0q0ja
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.5510, Validation Loss: 1.3076
Epoch 2/1000, Train Loss: 2.0249, Validation Loss: 1.4658
Epoch 3/1000, Train Loss: 1.8110, Validation Loss: 6.4899
Epoch 4/1000, Train Loss: 3.4634, Validation Loss: 3.0925
Epoch 5/1000, Train Loss: 1.8396, Validation Loss: 2.8215
Epoch 6/1000, Train Loss: 1.9281, Validation Loss: 1.8044
Epoch 7/1000, Train Loss: 1.6475, Validation Loss: 3.4292
Epoch 8/1000, Train Loss: 1.8122, Validation Loss: 1.8998
Epoch 9/1000, Train Loss: 1.6516, Validation Loss: 3.7980
Epoch 10/1000, Train Loss: 1.6505, Validation Loss: 1.4949
Epoch 11/1000, Train Loss: 1.6067, Validation Loss: 5.8453
Epoch 12/1000, Train Loss: 1.7825, Validation Loss: 1.4810
Epoch 13/1000, Train Loss: 1.6553, Validation Loss: 1.2872
Epoch 14/1000, Train Loss: 1.6276, Validation Loss: 3.2027
Epoch 15/1000, Train Loss: 2.8494, Validation Loss: 2.6030
Epoch 16/1000, Train Loss: 1.5245, Validation Loss: 1.9679
Epoch 17/1000, Train Loss: 2.2817, Validation Loss: 1.2440
Epoch 18/1000, Train Loss: 1.5854, Validation Loss: 3.3339
Epoch 19/1000, Train Loss: 1.5859, Validation Loss: 1.7670
Epoch 20/1000, Train Loss: 1.7085, Validation Loss: 2.4877
Epoch 21/1000, Train Loss: 1.5038, Validation Loss: 2.0883
Epoch 22/1000, Train Loss: 1.4477, Validation Loss: 2.0478
Epoch 23/1000, Train Loss: 1.8504, Validation Loss: 7.8624
Epoch 24/1000, Train Loss: 1.4163, Validation Loss: 1.5493
Epoch 25/1000, Train Loss: 1.4008, Validation Loss: 1.6497
Epoch 26/1000, Train Loss: 1.3929, Validation Loss: 2.0809
Epoch 27/1000, Train Loss: 1.3830, Validation Loss: 2.0549
Epoch 28/1000, Train Loss: 1.3878, Validation Loss: 1.2773
Epoch 29/1000, Train Loss: 1.3770, Validation Loss: 1.5432
Epoch 30/1000, Train Loss: 1.4515, Validation Loss: 2.2691
Epoch 31/1000, Train Loss: 1.2806, Validation Loss: 1.7806
Epoch 32/1000, Train Loss: 1.2259, Validation Loss: 4.2122
Epoch 33/1000, Train Loss: 1.2460, Validation Loss: 2.3425
Epoch 34/1000, Train Loss: 1.3004, Validation Loss: 1.6731
Epoch 35/1000, Train Loss: 1.2996, Validation Loss: 1.2112
Epoch 36/1000, Train Loss: 1.2749, Validation Loss: 2.0502
Epoch 37/1000, Train Loss: 1.3280, Validation Loss: 2.6610
Epoch 38/1000, Train Loss: 1.2898, Validation Loss: 1.5356
Epoch 39/1000, Train Loss: 1.2634, Validation Loss: 1.3520
Epoch 40/1000, Train Loss: 1.3178, Validation Loss: 1.5166
Epoch 41/1000, Train Loss: 1.2276, Validation Loss: 30.2060
Epoch 42/1000, Train Loss: 1.3408, Validation Loss: 1.5445
Epoch 43/1000, Train Loss: 1.2641, Validation Loss: 4.7673
Epoch 44/1000, Train Loss: 1.2438, Validation Loss: 1.2587
Epoch 45/1000, Train Loss: 1.5140, Validation Loss: 1.2768
Epoch 46/1000, Train Loss: 1.2597, Validation Loss: 2.0969
Epoch 47/1000, Train Loss: 1.2275, Validation Loss: 1.3476
Epoch 48/1000, Train Loss: 1.2483, Validation Loss: 2.7207
Epoch 49/1000, Train Loss: 1.3879, Validation Loss: 6.6612
Epoch 50/1000, Train Loss: 1.8349, Validation Loss: 1.3470
Epoch 51/1000, Train Loss: 1.2588, Validation Loss: 1.5756
Epoch 52/1000, Train Loss: 1.3186, Validation Loss: 1.5074
Epoch 53/1000, Train Loss: 1.5314, Validation Loss: 1.6171
Epoch 54/1000, Train Loss: 1.2646, Validation Loss: 2.7639
Epoch 55/1000, Train Loss: 1.2096, Validation Loss: 1.1939
Epoch 56/1000, Train Loss: 1.1838, Validation Loss: 1.7886
Epoch 57/1000, Train Loss: 1.2107, Validation Loss: 0.9153
Epoch 58/1000, Train Loss: 1.1820, Validation Loss: 1.2040
Epoch 59/1000, Train Loss: 1.1682, Validation Loss: 8.0687
Epoch 60/1000, Train Loss: 1.2126, Validation Loss: 1.8900
Epoch 61/1000, Train Loss: 1.1855, Validation Loss: 2.3162
Epoch 62/1000, Train Loss: 1.2171, Validation Loss: 2.0009
Epoch 63/1000, Train Loss: 1.1945, Validation Loss: 5.7239
Epoch 64/1000, Train Loss: 1.1663, Validation Loss: 1.2766
Epoch 65/1000, Train Loss: 1.2319, Validation Loss: 1.4173
Epoch 66/1000, Train Loss: 1.1758, Validation Loss: 1.5327
Epoch 67/1000, Train Loss: 1.1799, Validation Loss: 5.4648
Epoch 68/1000, Train Loss: 1.1991, Validation Loss: 3.3898
Epoch 69/1000, Train Loss: 1.2063, Validation Loss: 1.5293
Epoch 70/1000, Train Loss: 1.1820, Validation Loss: 1.6707
Epoch 71/1000, Train Loss: 1.2408, Validation Loss: 1.9629
Epoch 72/1000, Train Loss: 1.2659, Validation Loss: 3.2940
Epoch 73/1000, Train Loss: 1.2229, Validation Loss: 1.2642
Epoch 74/1000, Train Loss: 1.2499, Validation Loss: 2.6956
Epoch 75/1000, Train Loss: 1.2420, Validation Loss: 1.1467
Epoch 76/1000, Train Loss: 1.2420, Validation Loss: 5.3967
Epoch 77/1000, Train Loss: 1.2112, Validation Loss: 1.0412
Epoch 78/1000, Train Loss: 1.1984, Validation Loss: 2.5969
Epoch 79/1000, Train Loss: 1.2357, Validation Loss: 4.4153
Epoch 80/1000, Train Loss: 1.2195, Validation Loss: 1.0127
Epoch 81/1000, Train Loss: 1.2411, Validation Loss: 3.4326
Epoch 82/1000, Train Loss: 1.2387, Validation Loss: 1.6915
Epoch 83/1000, Train Loss: 1.2314, Validation Loss: 2.3490
Epoch 84/1000, Train Loss: 1.2289, Validation Loss: 1.7021
Epoch 85/1000, Train Loss: 1.3321, Validation Loss: 1.0763
Epoch 86/1000, Train Loss: 1.2182, Validation Loss: 3.9174
Epoch 87/1000, Train Loss: 1.1865, Validation Loss: 1.5936
Epoch 88/1000, Train Loss: 1.1875, Validation Loss: 2.1691
Epoch 89/1000, Train Loss: 1.1893, Validation Loss: 1.2129
Epoch 90/1000, Train Loss: 1.1802, Validation Loss: 5.4308
Epoch 91/1000, Train Loss: 1.1620, Validation Loss: 0.8924
Epoch 92/1000, Train Loss: 1.1774, Validation Loss: 3.7576
Epoch 93/1000, Train Loss: 1.2225, Validation Loss: 2.1572
Epoch 94/1000, Train Loss: 1.2406, Validation Loss: 1.5071
Epoch 95/1000, Train Loss: 1.1888, Validation Loss: 5.6722
Epoch 96/1000, Train Loss: 1.1869, Validation Loss: 3.5790
Epoch 97/1000, Train Loss: 1.1754, Validation Loss: 1.8280
Epoch 98/1000, Train Loss: 1.2161, Validation Loss: 2.1386
Epoch 99/1000, Train Loss: 3.4379, Validation Loss: 1.6733
Epoch 100/1000, Train Loss: 1.1762, Validation Loss: 2.8923
Epoch 101/1000, Train Loss: 2.0152, Validation Loss: 2.4436
Epoch 102/1000, Train Loss: 1.1396, Validation Loss: 1.3101
Epoch 103/1000, Train Loss: 1.1526, Validation Loss: 7.8551
Epoch 104/1000, Train Loss: 1.1773, Validation Loss: 15.0348
Epoch 105/1000, Train Loss: 1.2426, Validation Loss: 4.7522
Epoch 106/1000, Train Loss: 1.1639, Validation Loss: 1.4914
Epoch 107/1000, Train Loss: 1.1799, Validation Loss: 2.5980
Epoch 108/1000, Train Loss: 1.7026, Validation Loss: 1.6411
Epoch 109/1000, Train Loss: 1.2057, Validation Loss: 1.8619
Epoch 110/1000, Train Loss: 1.1636, Validation Loss: 1.9916
Epoch 111/1000, Train Loss: 1.1685, Validation Loss: 3.6597
Epoch 112/1000, Train Loss: 1.2419, Validation Loss: 1.6050
Epoch 113/1000, Train Loss: 1.2503, Validation Loss: 2.5988
Epoch 114/1000, Train Loss: 1.1782, Validation Loss: 1.1174
Epoch 115/1000, Train Loss: 1.8956, Validation Loss: 0.9385
Epoch 116/1000, Train Loss: 1.1611, Validation Loss: 1.3934
Epoch 117/1000, Train Loss: 1.1850, Validation Loss: 3.2106
Epoch 118/1000, Train Loss: 1.1700, Validation Loss: 3.4787
Epoch 119/1000, Train Loss: 1.2285, Validation Loss: 2.0560
Epoch 120/1000, Train Loss: 1.1890, Validation Loss: 2.6321
Epoch 121/1000, Train Loss: 1.2683, Validation Loss: 3.1381
Epoch 122/1000, Train Loss: 1.2307, Validation Loss: 1.1053
Epoch 123/1000, Train Loss: 1.2268, Validation Loss: 2.8588
Epoch 124/1000, Train Loss: 1.2188, Validation Loss: 2.9239
Epoch 125/1000, Train Loss: 1.1922, Validation Loss: 1.6428
Epoch 126/1000, Train Loss: 1.1858, Validation Loss: 5.3179
Epoch 127/1000, Train Loss: 1.1679, Validation Loss: 4.4818
Epoch 128/1000, Train Loss: 1.2215, Validation Loss: 2.3617
Epoch 129/1000, Train Loss: 1.2563, Validation Loss: 1.9274
Epoch 130/1000, Train Loss: 1.1601, Validation Loss: 2.4168
Epoch 131/1000, Train Loss: 1.1606, Validation Loss: 3.4057
Epoch 132/1000, Train Loss: 1.1603, Validation Loss: 3.4401
Epoch 133/1000, Train Loss: 1.1866, Validation Loss: 1.3503
Epoch 134/1000, Train Loss: 1.2114, Validation Loss: 2.9212
Epoch 135/1000, Train Loss: 1.1560, Validation Loss: 3.4707
Epoch 136/1000, Train Loss: 1.1926, Validation Loss: 1.3827
Epoch 137/1000, Train Loss: 1.1949, Validation Loss: 1.3006
Epoch 138/1000, Train Loss: 1.1967, Validation Loss: 3.3458
Epoch 139/1000, Train Loss: 1.1632, Validation Loss: 5.2337
Epoch 140/1000, Train Loss: 1.1948, Validation Loss: 14.1860
Epoch 141/1000, Train Loss: 1.1196, Validation Loss: 3.0384
Epoch 142/1000, Train Loss: 1.2136, Validation Loss: 0.9925
Epoch 143/1000, Train Loss: 1.1880, Validation Loss: 1.5128
Epoch 144/1000, Train Loss: 1.1343, Validation Loss: 1.5390
Epoch 145/1000, Train Loss: 1.1855, Validation Loss: 2.2139
Epoch 146/1000, Train Loss: 1.1787, Validation Loss: 1.3262
Epoch 147/1000, Train Loss: 1.1875, Validation Loss: 5.5744
Epoch 148/1000, Train Loss: 1.1866, Validation Loss: 1.0389
Epoch 149/1000, Train Loss: 1.2278, Validation Loss: 1.8333
Epoch 150/1000, Train Loss: 1.1383, Validation Loss: 2.1506
Epoch 151/1000, Train Loss: 1.1447, Validation Loss: 1.9620
Epoch 152/1000, Train Loss: 1.1541, Validation Loss: 1.2220
Epoch 153/1000, Train Loss: 1.1439, Validation Loss: 2.2360
Epoch 154/1000, Train Loss: 1.1624, Validation Loss: 1.3097
Epoch 155/1000, Train Loss: 1.1549, Validation Loss: 2.9255
Epoch 156/1000, Train Loss: 1.1568, Validation Loss: 1.6961
Epoch 157/1000, Train Loss: 1.1283, Validation Loss: 0.9507
Epoch 158/1000, Train Loss: 1.1108, Validation Loss: 6.3289
Epoch 159/1000, Train Loss: 1.1120, Validation Loss: 2.6728
Epoch 160/1000, Train Loss: 1.1224, Validation Loss: 0.8501
Epoch 161/1000, Train Loss: 1.0625, Validation Loss: 2.8527
Epoch 162/1000, Train Loss: 1.1586, Validation Loss: 4.5012
Epoch 163/1000, Train Loss: 1.1538, Validation Loss: 1.5213
Epoch 164/1000, Train Loss: 1.1371, Validation Loss: 3.6853
Epoch 165/1000, Train Loss: 1.2219, Validation Loss: 1.8529
Epoch 166/1000, Train Loss: 1.2043, Validation Loss: 3.4838
Epoch 167/1000, Train Loss: 1.2286, Validation Loss: 1.9192
Epoch 168/1000, Train Loss: 1.1925, Validation Loss: 1.9752
Epoch 169/1000, Train Loss: 1.1778, Validation Loss: 2.1399
Epoch 170/1000, Train Loss: 1.3499, Validation Loss: 1.0600
Epoch 171/1000, Train Loss: 1.2271, Validation Loss: 1.1842
Epoch 172/1000, Train Loss: 1.1671, Validation Loss: 1.1923
Epoch 173/1000, Train Loss: 1.2029, Validation Loss: 1.1024
Epoch 174/1000, Train Loss: 1.1883, Validation Loss: 2.3176
Epoch 175/1000, Train Loss: 1.1646, Validation Loss: 1.1303
Epoch 176/1000, Train Loss: 1.1483, Validation Loss: 3.3421
Epoch 177/1000, Train Loss: 1.2186, Validation Loss: 3.3006
Epoch 178/1000, Train Loss: 1.1904, Validation Loss: 2.1086
Epoch 179/1000, Train Loss: 1.2416, Validation Loss: 1.6421
