Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-5u2e9mws
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 63.6308, Validation Loss: 7.3746
Epoch 2/1000, Train Loss: 12.9211, Validation Loss: 6.1200
Epoch 3/1000, Train Loss: 6.2555, Validation Loss: 6.0734
Epoch 4/1000, Train Loss: 7.8563, Validation Loss: 6.4389
Epoch 5/1000, Train Loss: 6.2945, Validation Loss: 6.0617
Epoch 6/1000, Train Loss: 157.0544, Validation Loss: 6.1491
Epoch 7/1000, Train Loss: 6.2919, Validation Loss: 6.1856
Epoch 8/1000, Train Loss: 6.2995, Validation Loss: 6.2477
Epoch 9/1000, Train Loss: 49.1759, Validation Loss: 6.3381
Epoch 10/1000, Train Loss: 6.2618, Validation Loss: 6.0792
Epoch 11/1000, Train Loss: 79.1420, Validation Loss: 6.1468
Epoch 12/1000, Train Loss: 6.2627, Validation Loss: 6.0626
Epoch 13/1000, Train Loss: 6.4448, Validation Loss: 6.5627
Epoch 14/1000, Train Loss: 7.3122, Validation Loss: 6.1923
Epoch 15/1000, Train Loss: 6.2367, Validation Loss: 6.1536
Epoch 16/1000, Train Loss: 6.1985, Validation Loss: 6.0992
Epoch 17/1000, Train Loss: 9.0128, Validation Loss: 6.2069
Epoch 18/1000, Train Loss: 7.0802, Validation Loss: 6.0687
Epoch 19/1000, Train Loss: 6.2675, Validation Loss: 6.1454
Epoch 20/1000, Train Loss: 6.3342, Validation Loss: 6.1031
Epoch 21/1000, Train Loss: 6.3098, Validation Loss: 6.0883
Epoch 22/1000, Train Loss: 6.2248, Validation Loss: 6.0618
Epoch 23/1000, Train Loss: 96.7841, Validation Loss: 7.3672
Epoch 24/1000, Train Loss: 6.2246, Validation Loss: 6.0770
Epoch 25/1000, Train Loss: 11.6145, Validation Loss: 6.2106
Epoch 26/1000, Train Loss: 6.2536, Validation Loss: 6.0789
Epoch 27/1000, Train Loss: 6.7371, Validation Loss: 6.1097
Epoch 28/1000, Train Loss: 6.2282, Validation Loss: 6.2534
Epoch 29/1000, Train Loss: 6.2102, Validation Loss: 6.0840
Epoch 30/1000, Train Loss: 27.0879, Validation Loss: 6.0982
Epoch 31/1000, Train Loss: 6.3118, Validation Loss: 6.1130
Epoch 32/1000, Train Loss: 6.3974, Validation Loss: 6.1793
Epoch 33/1000, Train Loss: 6.2885, Validation Loss: 6.2994
Epoch 34/1000, Train Loss: 6.2339, Validation Loss: 6.0620
Epoch 35/1000, Train Loss: 26.6220, Validation Loss: 6.1406
Epoch 36/1000, Train Loss: 6.1801, Validation Loss: 6.1598
Epoch 37/1000, Train Loss: 6.1743, Validation Loss: 6.3897
Epoch 38/1000, Train Loss: 6.2626, Validation Loss: 6.0755
Epoch 39/1000, Train Loss: 6.2572, Validation Loss: 6.3949
Epoch 40/1000, Train Loss: 6.2324, Validation Loss: 6.0877
Epoch 41/1000, Train Loss: 45.2145, Validation Loss: 6.2899
