Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-8pldm6be
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.9566, Validation Loss: 6.6042
Epoch 2/1000, Train Loss: 2.9373, Validation Loss: 2.3179
Epoch 3/1000, Train Loss: 2.6891, Validation Loss: 2.0948
Epoch 4/1000, Train Loss: 2.8629, Validation Loss: 1.8737
Epoch 5/1000, Train Loss: 2.8478, Validation Loss: 1.8517
Epoch 6/1000, Train Loss: 320.5528, Validation Loss: 3.6807
Epoch 7/1000, Train Loss: 2.7871, Validation Loss: 2.8574
Epoch 8/1000, Train Loss: 2.2655, Validation Loss: 1.6299
Epoch 9/1000, Train Loss: 2.1038, Validation Loss: 3.3430
Epoch 10/1000, Train Loss: 1.9374, Validation Loss: 2.3139
Epoch 11/1000, Train Loss: 1.9461, Validation Loss: 1.5869
Epoch 12/1000, Train Loss: 1.8054, Validation Loss: 6.7071
Epoch 13/1000, Train Loss: 2.3403, Validation Loss: 3.5124
Epoch 14/1000, Train Loss: 1.9897, Validation Loss: 2.0049
Epoch 15/1000, Train Loss: 1.9243, Validation Loss: 2.7684
Epoch 16/1000, Train Loss: 1.7812, Validation Loss: 1.6197
Epoch 17/1000, Train Loss: 1.8179, Validation Loss: 2.0719
Epoch 18/1000, Train Loss: 1.8030, Validation Loss: 5.6396
Epoch 19/1000, Train Loss: 1.7135, Validation Loss: 3.1734
Epoch 20/1000, Train Loss: 3.8917, Validation Loss: 1.6323
Epoch 21/1000, Train Loss: 1.8039, Validation Loss: 3.7158
Epoch 22/1000, Train Loss: 1.6841, Validation Loss: 4.4335
Epoch 23/1000, Train Loss: 1.7067, Validation Loss: 1.3998
Epoch 24/1000, Train Loss: 2.0067, Validation Loss: 1.5389
Epoch 25/1000, Train Loss: 1.7072, Validation Loss: 2.7727
Epoch 26/1000, Train Loss: 1.7715, Validation Loss: 3.2795
Epoch 27/1000, Train Loss: 1.6233, Validation Loss: 1.3249
Epoch 28/1000, Train Loss: 1.5932, Validation Loss: 3.2302
Epoch 29/1000, Train Loss: 1.6555, Validation Loss: 1.9567
Epoch 30/1000, Train Loss: 1.5631, Validation Loss: 2.1941
Epoch 31/1000, Train Loss: 1.5310, Validation Loss: 3.3246
Epoch 32/1000, Train Loss: 1.5149, Validation Loss: 1.6844
Epoch 33/1000, Train Loss: 12.8178, Validation Loss: 1.5906
Epoch 34/1000, Train Loss: 1.5227, Validation Loss: 2.5257
Epoch 35/1000, Train Loss: 1.4655, Validation Loss: 1.1706
Epoch 36/1000, Train Loss: 1.4715, Validation Loss: 2.4273
Epoch 37/1000, Train Loss: 1.5502, Validation Loss: 1.2844
Epoch 38/1000, Train Loss: 1.5022, Validation Loss: 2.2041
Epoch 39/1000, Train Loss: 1.4934, Validation Loss: 1.8874
Epoch 40/1000, Train Loss: 1.5000, Validation Loss: 2.9442
Epoch 41/1000, Train Loss: 1.4282, Validation Loss: 1.9834
Epoch 42/1000, Train Loss: 2.5275, Validation Loss: 48.4708
Epoch 43/1000, Train Loss: 1.4256, Validation Loss: 1.8226
Epoch 44/1000, Train Loss: 1.3404, Validation Loss: 7.2565
Epoch 45/1000, Train Loss: 1.3821, Validation Loss: 2.1483
Epoch 46/1000, Train Loss: 1.3736, Validation Loss: 1.4875
Epoch 47/1000, Train Loss: 1.4928, Validation Loss: 1.4395
Epoch 48/1000, Train Loss: 1.4518, Validation Loss: 2.2910
Epoch 49/1000, Train Loss: 1.4143, Validation Loss: 1.4577
Epoch 50/1000, Train Loss: 1.3668, Validation Loss: 1.0446
Epoch 51/1000, Train Loss: 1.3438, Validation Loss: 2.0981
Epoch 52/1000, Train Loss: 1.3757, Validation Loss: 1.2291
Epoch 53/1000, Train Loss: 1.3053, Validation Loss: 1.6868
Epoch 54/1000, Train Loss: 1.2426, Validation Loss: 1.1113
Epoch 55/1000, Train Loss: 1.3031, Validation Loss: 1.7674
Epoch 56/1000, Train Loss: 1.4565, Validation Loss: 1.2235
Epoch 57/1000, Train Loss: 1.4966, Validation Loss: 1.5990
Epoch 58/1000, Train Loss: 1.4060, Validation Loss: 1.3381
Epoch 59/1000, Train Loss: 1.3858, Validation Loss: 1.6984
Epoch 60/1000, Train Loss: 1.4411, Validation Loss: 1.4307
Epoch 61/1000, Train Loss: 1.3198, Validation Loss: 2.3600
Epoch 62/1000, Train Loss: 1.4191, Validation Loss: 2.3613
Epoch 63/1000, Train Loss: 1.3945, Validation Loss: 1.8137
Epoch 64/1000, Train Loss: 1.4750, Validation Loss: 2.5283
Epoch 65/1000, Train Loss: 1.4240, Validation Loss: 2.8878
Epoch 66/1000, Train Loss: 1.6783, Validation Loss: 2.2098
Epoch 67/1000, Train Loss: 1.4362, Validation Loss: 2.0229
Epoch 68/1000, Train Loss: 1.3805, Validation Loss: 4.1388
Epoch 69/1000, Train Loss: 1.3847, Validation Loss: 9.7502
Epoch 70/1000, Train Loss: 1.3957, Validation Loss: 2.3537
Epoch 71/1000, Train Loss: 1.4500, Validation Loss: 2.4132
Epoch 72/1000, Train Loss: 1.4737, Validation Loss: 2.2616
Epoch 73/1000, Train Loss: 1.5115, Validation Loss: 4.2120
Epoch 74/1000, Train Loss: 1.4608, Validation Loss: 3.3015
Epoch 75/1000, Train Loss: 1.4194, Validation Loss: 2.0937
Epoch 76/1000, Train Loss: 1.4293, Validation Loss: 2.1440
Epoch 77/1000, Train Loss: 1.4659, Validation Loss: 1.7561
Epoch 78/1000, Train Loss: 1.3911, Validation Loss: 3.2073
Epoch 79/1000, Train Loss: 1.2962, Validation Loss: 1.5132
Epoch 80/1000, Train Loss: 1.3222, Validation Loss: 1.8115
Epoch 81/1000, Train Loss: 1.6375, Validation Loss: 1.4712
Epoch 82/1000, Train Loss: 1.3833, Validation Loss: 1.4072
Epoch 83/1000, Train Loss: 1.4769, Validation Loss: 3.9741
Epoch 84/1000, Train Loss: 1.4749, Validation Loss: 1.3536
Epoch 85/1000, Train Loss: 1.5046, Validation Loss: 1.8489
Epoch 86/1000, Train Loss: 1.4828, Validation Loss: 1.5047
Epoch 87/1000, Train Loss: 1.4303, Validation Loss: 1.8007
Epoch 88/1000, Train Loss: 1.3647, Validation Loss: 3.2928
Epoch 89/1000, Train Loss: 1.3586, Validation Loss: 3.3083
Epoch 90/1000, Train Loss: 1.3754, Validation Loss: 1.4280
Epoch 91/1000, Train Loss: 3.1961, Validation Loss: 1.3226
Epoch 92/1000, Train Loss: 1.3705, Validation Loss: 1.7941
Epoch 93/1000, Train Loss: 1.3558, Validation Loss: 4.0357
Epoch 94/1000, Train Loss: 1.3390, Validation Loss: 1.8510
Epoch 95/1000, Train Loss: 1.5017, Validation Loss: 15.6434
Epoch 96/1000, Train Loss: 1.3575, Validation Loss: 2.1936
Epoch 97/1000, Train Loss: 1.2710, Validation Loss: 1.0498
Epoch 98/1000, Train Loss: 1.3070, Validation Loss: 17.8301
Epoch 99/1000, Train Loss: 1.3432, Validation Loss: 1.6901
Epoch 100/1000, Train Loss: 6.1028, Validation Loss: 2.3697
Epoch 101/1000, Train Loss: 1.5168, Validation Loss: 2.1993
Epoch 102/1000, Train Loss: 1.5722, Validation Loss: 1.4602
Epoch 103/1000, Train Loss: 1.5069, Validation Loss: 1.5283
Epoch 104/1000, Train Loss: 1.4259, Validation Loss: 1.1788
Epoch 105/1000, Train Loss: 1.4158, Validation Loss: 2.9771
Epoch 106/1000, Train Loss: 1.4620, Validation Loss: 1.3657
Epoch 107/1000, Train Loss: 1.3915, Validation Loss: 2.1255
Epoch 108/1000, Train Loss: 1.5100, Validation Loss: 1.3744
Epoch 109/1000, Train Loss: 1.4363, Validation Loss: 1.1719
Epoch 110/1000, Train Loss: 1.4350, Validation Loss: 2.8083
Epoch 111/1000, Train Loss: 1.6045, Validation Loss: 2.5915
Epoch 112/1000, Train Loss: 1.4259, Validation Loss: 1.9174
Epoch 113/1000, Train Loss: 1.4604, Validation Loss: 1.5759
Epoch 114/1000, Train Loss: 1.3787, Validation Loss: 2.8932
Epoch 115/1000, Train Loss: 1.8749, Validation Loss: 1.2419
Epoch 116/1000, Train Loss: 1.3534, Validation Loss: 2.8515
