Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-n25n9mhy
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.8170, Validation Loss: 1.8787
Epoch 2/1000, Train Loss: 1.5930, Validation Loss: 1.7716
Epoch 3/1000, Train Loss: 2.0770, Validation Loss: 2.9073
Epoch 4/1000, Train Loss: 2.1398, Validation Loss: 1.6904
Epoch 5/1000, Train Loss: 1.5039, Validation Loss: 6.4445
Epoch 6/1000, Train Loss: 2.1848, Validation Loss: 9.6576
Epoch 7/1000, Train Loss: 2.0327, Validation Loss: 2.9326
Epoch 8/1000, Train Loss: 1.9347, Validation Loss: 1.9595
Epoch 9/1000, Train Loss: 1.4455, Validation Loss: 2.6671
Epoch 10/1000, Train Loss: 1.5945, Validation Loss: 2.3998
Epoch 11/1000, Train Loss: 1.7858, Validation Loss: 6.7232
Epoch 12/1000, Train Loss: 1.6671, Validation Loss: 1.3404
Epoch 13/1000, Train Loss: 1.5387, Validation Loss: 1.2371
Epoch 14/1000, Train Loss: 1.6571, Validation Loss: 4.0585
Epoch 15/1000, Train Loss: 1.8466, Validation Loss: 3.9514
Epoch 16/1000, Train Loss: 1.5907, Validation Loss: 1.0920
Epoch 17/1000, Train Loss: 1.7347, Validation Loss: 4.8454
Epoch 18/1000, Train Loss: 1.5881, Validation Loss: 2.1675
Epoch 19/1000, Train Loss: 1.8872, Validation Loss: 2.8027
Epoch 20/1000, Train Loss: 2.0830, Validation Loss: 2.0959
Epoch 21/1000, Train Loss: 1.9060, Validation Loss: 3.9552
Epoch 22/1000, Train Loss: 1.6320, Validation Loss: 2.0115
Epoch 23/1000, Train Loss: 1.7941, Validation Loss: 1.9859
Epoch 24/1000, Train Loss: 1.7722, Validation Loss: 1.5808
Epoch 25/1000, Train Loss: 1.5218, Validation Loss: 1.7351
Epoch 26/1000, Train Loss: 1.5061, Validation Loss: 1.7309
Epoch 27/1000, Train Loss: 1.5596, Validation Loss: 1.7012
Epoch 28/1000, Train Loss: 1.6599, Validation Loss: 1.4159
Epoch 29/1000, Train Loss: 1.6008, Validation Loss: 4.7250
Epoch 30/1000, Train Loss: 1.4551, Validation Loss: 1.6112
Epoch 31/1000, Train Loss: 1.4051, Validation Loss: 1.2638
Epoch 32/1000, Train Loss: 1.4805, Validation Loss: 2.3544
Epoch 33/1000, Train Loss: 1.4776, Validation Loss: 1.5089
Epoch 34/1000, Train Loss: 1.3397, Validation Loss: 2.4537
Epoch 35/1000, Train Loss: 1.4740, Validation Loss: 2.5519
Epoch 36/1000, Train Loss: 1.2394, Validation Loss: 1.1833
Epoch 37/1000, Train Loss: 1.2022, Validation Loss: 1.5002
Epoch 38/1000, Train Loss: 1.1959, Validation Loss: 1.9404
Epoch 39/1000, Train Loss: 1.3260, Validation Loss: 0.9679
Epoch 40/1000, Train Loss: 1.4021, Validation Loss: 2.2492
Epoch 41/1000, Train Loss: 1.3524, Validation Loss: 1.3076
Epoch 42/1000, Train Loss: 1.3824, Validation Loss: 1.9307
Epoch 43/1000, Train Loss: 1.4556, Validation Loss: 1.5917
Epoch 44/1000, Train Loss: 1.3758, Validation Loss: 1.7978
Epoch 45/1000, Train Loss: 1.3571, Validation Loss: 1.4203
Epoch 46/1000, Train Loss: 2.2373, Validation Loss: 2.1586
Epoch 47/1000, Train Loss: 1.3005, Validation Loss: 1.0473
Epoch 48/1000, Train Loss: 1.2682, Validation Loss: 1.0195
Epoch 49/1000, Train Loss: 1.3645, Validation Loss: 1.1597
Epoch 50/1000, Train Loss: 1.3852, Validation Loss: 1.0316
Epoch 51/1000, Train Loss: 1.3243, Validation Loss: 1.2722
Epoch 52/1000, Train Loss: 1.1942, Validation Loss: 1.0206
Epoch 53/1000, Train Loss: 1.3517, Validation Loss: 1.6813
Epoch 54/1000, Train Loss: 1.3643, Validation Loss: 3.3830
Epoch 55/1000, Train Loss: 1.3338, Validation Loss: 1.1965
Epoch 56/1000, Train Loss: 1.3786, Validation Loss: 1.7295
Epoch 57/1000, Train Loss: 1.2223, Validation Loss: 1.3028
Epoch 58/1000, Train Loss: 1.3756, Validation Loss: 1.7031
Epoch 59/1000, Train Loss: 1.3792, Validation Loss: 2.1795
Epoch 60/1000, Train Loss: 1.2272, Validation Loss: 1.8717
Epoch 61/1000, Train Loss: 1.2140, Validation Loss: 1.3858
Epoch 62/1000, Train Loss: 1.2236, Validation Loss: 1.2852
Epoch 63/1000, Train Loss: 1.2219, Validation Loss: 2.2112
Epoch 64/1000, Train Loss: 1.2250, Validation Loss: 2.2632
Epoch 65/1000, Train Loss: 1.2521, Validation Loss: 3.2697
Epoch 66/1000, Train Loss: 1.3045, Validation Loss: 1.6078
Epoch 67/1000, Train Loss: 1.2249, Validation Loss: 1.6136
Epoch 68/1000, Train Loss: 1.2873, Validation Loss: 1.1388
Epoch 69/1000, Train Loss: 1.3067, Validation Loss: 0.9584
Epoch 70/1000, Train Loss: 1.1427, Validation Loss: 1.9134
Epoch 71/1000, Train Loss: 1.2179, Validation Loss: 3.2103
Epoch 72/1000, Train Loss: 1.1700, Validation Loss: 1.5736
Epoch 73/1000, Train Loss: 1.1720, Validation Loss: 1.8568
Epoch 74/1000, Train Loss: 1.2400, Validation Loss: 1.6677
Epoch 75/1000, Train Loss: 1.2818, Validation Loss: 1.6713
Epoch 76/1000, Train Loss: 1.2696, Validation Loss: 3.4465
Epoch 77/1000, Train Loss: 1.1586, Validation Loss: 1.3172
Epoch 78/1000, Train Loss: 1.2047, Validation Loss: 2.3711
Epoch 79/1000, Train Loss: 1.2653, Validation Loss: 1.8517
Epoch 80/1000, Train Loss: 1.2329, Validation Loss: 1.5665
Epoch 81/1000, Train Loss: 1.1607, Validation Loss: 1.2163
Epoch 82/1000, Train Loss: 1.2777, Validation Loss: 1.5562
Epoch 83/1000, Train Loss: 1.1557, Validation Loss: 0.9410
Epoch 84/1000, Train Loss: 1.1384, Validation Loss: 1.2933
Epoch 85/1000, Train Loss: 1.1473, Validation Loss: 2.2535
Epoch 86/1000, Train Loss: 1.1794, Validation Loss: 1.4462
Epoch 87/1000, Train Loss: 1.2259, Validation Loss: 2.1871
Epoch 88/1000, Train Loss: 1.1323, Validation Loss: 1.0248
Epoch 89/1000, Train Loss: 1.2929, Validation Loss: 1.7728
Epoch 90/1000, Train Loss: 1.1193, Validation Loss: 0.9412
Epoch 91/1000, Train Loss: 1.1448, Validation Loss: 1.0616
Epoch 92/1000, Train Loss: 1.1748, Validation Loss: 1.1939
Epoch 93/1000, Train Loss: 1.0652, Validation Loss: 1.1873
Epoch 94/1000, Train Loss: 1.3589, Validation Loss: 1.0148
Epoch 95/1000, Train Loss: 1.2075, Validation Loss: 1.1982
Epoch 96/1000, Train Loss: 1.1781, Validation Loss: 0.9135
Epoch 97/1000, Train Loss: 1.2663, Validation Loss: 4.1617
