Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-kgpavhkf
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 9.5164, Validation Loss: 3.7204
Epoch 2/1000, Train Loss: 132.0464, Validation Loss: 3.1183
Epoch 3/1000, Train Loss: 2.4020, Validation Loss: 2.4215
Epoch 4/1000, Train Loss: 3.0853, Validation Loss: 2.0727
Epoch 5/1000, Train Loss: 2.2176, Validation Loss: 1.9656
Epoch 6/1000, Train Loss: 1.7000, Validation Loss: 1.8292
Epoch 7/1000, Train Loss: 1.5958, Validation Loss: 5.1055
Epoch 8/1000, Train Loss: 2.6551, Validation Loss: 6.1840
Epoch 9/1000, Train Loss: 3.6941, Validation Loss: 1.4123
Epoch 10/1000, Train Loss: 2.4164, Validation Loss: 6.1864
Epoch 11/1000, Train Loss: 2.9130, Validation Loss: 2.4891
Epoch 12/1000, Train Loss: 2.8989, Validation Loss: 2.7247
Epoch 13/1000, Train Loss: 2.1324, Validation Loss: 4.8508
Epoch 14/1000, Train Loss: 1.7229, Validation Loss: 10.8639
Epoch 15/1000, Train Loss: 1.6058, Validation Loss: 1.5611
Epoch 16/1000, Train Loss: 1.4103, Validation Loss: 9.1546
Epoch 17/1000, Train Loss: 1.3865, Validation Loss: 1.3948
Epoch 18/1000, Train Loss: 1.4178, Validation Loss: 1.3432
Epoch 19/1000, Train Loss: 1.4277, Validation Loss: 1.4164
Epoch 20/1000, Train Loss: 1.8965, Validation Loss: 3.5686
Epoch 21/1000, Train Loss: 1.6847, Validation Loss: 1.8752
Epoch 22/1000, Train Loss: 1.7744, Validation Loss: 2.0457
Epoch 23/1000, Train Loss: 1.6394, Validation Loss: 1.9922
Epoch 24/1000, Train Loss: 1.7856, Validation Loss: 2.3101
Epoch 25/1000, Train Loss: 1.9503, Validation Loss: 6.3535
Epoch 26/1000, Train Loss: 1.8582, Validation Loss: 2.1908
Epoch 27/1000, Train Loss: 1.7643, Validation Loss: 1.8954
Epoch 28/1000, Train Loss: 1.7346, Validation Loss: 2.5026
Epoch 29/1000, Train Loss: 2.2315, Validation Loss: 2.0698
Epoch 30/1000, Train Loss: 1.9761, Validation Loss: 6.0731
Epoch 31/1000, Train Loss: 1.8537, Validation Loss: 4.6899
Epoch 32/1000, Train Loss: 1.7180, Validation Loss: 2.2842
Epoch 33/1000, Train Loss: 1.7993, Validation Loss: 1.8820
Epoch 34/1000, Train Loss: 1.9343, Validation Loss: 2.6716
Epoch 35/1000, Train Loss: 1.7039, Validation Loss: 2.9188
Epoch 36/1000, Train Loss: 3.1960, Validation Loss: 2.0349
Epoch 37/1000, Train Loss: 1.7107, Validation Loss: 2.0955
Epoch 38/1000, Train Loss: 1.9132, Validation Loss: 7.5655
Epoch 39/1000, Train Loss: 1.8312, Validation Loss: 3.2274
Epoch 40/1000, Train Loss: 1.6056, Validation Loss: 6.5557
Epoch 41/1000, Train Loss: 1.5939, Validation Loss: 3.3559
