Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-mbiihu87
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 7.1880, Validation Loss: 1.6995
Epoch 2/1000, Train Loss: 6.7461, Validation Loss: 5.6810
Epoch 3/1000, Train Loss: 2.2031, Validation Loss: 8.2631
Epoch 4/1000, Train Loss: 1.6694, Validation Loss: 3.2506
Epoch 5/1000, Train Loss: 1.6905, Validation Loss: 9.3882
Epoch 6/1000, Train Loss: 1.6570, Validation Loss: 1.2953
Epoch 7/1000, Train Loss: 1.5299, Validation Loss: 5.3677
Epoch 8/1000, Train Loss: 1.5626, Validation Loss: 1.3177
Epoch 9/1000, Train Loss: 1.4675, Validation Loss: 1.6584
Epoch 10/1000, Train Loss: 1.4167, Validation Loss: 1.2451
Epoch 11/1000, Train Loss: 1.3729, Validation Loss: 5.2242
Epoch 12/1000, Train Loss: 2.3794, Validation Loss: 2.3145
Epoch 13/1000, Train Loss: 1.4320, Validation Loss: 3.3221
Epoch 14/1000, Train Loss: 1.4607, Validation Loss: 1.0826
Epoch 15/1000, Train Loss: 1.3943, Validation Loss: 1.5349
Epoch 16/1000, Train Loss: 1.3709, Validation Loss: 2.1717
Epoch 17/1000, Train Loss: 1.4392, Validation Loss: 2.8269
Epoch 18/1000, Train Loss: 1.4080, Validation Loss: 5.6960
Epoch 19/1000, Train Loss: 1.3979, Validation Loss: 1.5532
Epoch 20/1000, Train Loss: 1.3600, Validation Loss: 3.7369
Epoch 21/1000, Train Loss: 1.3223, Validation Loss: 2.3046
Epoch 22/1000, Train Loss: 1.3968, Validation Loss: 1.6421
Epoch 23/1000, Train Loss: 1.3904, Validation Loss: 1.2661
Epoch 24/1000, Train Loss: 1.3121, Validation Loss: 1.2506
Epoch 25/1000, Train Loss: 1.6516, Validation Loss: 1.4246
Epoch 26/1000, Train Loss: 1.2585, Validation Loss: 2.6600
Epoch 27/1000, Train Loss: 1.1899, Validation Loss: 1.1939
Epoch 28/1000, Train Loss: 1.2448, Validation Loss: 1.9198
Epoch 29/1000, Train Loss: 1.1601, Validation Loss: 1.8717
Epoch 30/1000, Train Loss: 1.1214, Validation Loss: 1.4831
Epoch 31/1000, Train Loss: 1.1942, Validation Loss: 0.9895
Epoch 32/1000, Train Loss: 1.3310, Validation Loss: 1.8889
Epoch 33/1000, Train Loss: 1.2531, Validation Loss: 1.0732
Epoch 34/1000, Train Loss: 1.1921, Validation Loss: 5.4418
Epoch 35/1000, Train Loss: 1.2232, Validation Loss: 4.6657
Epoch 36/1000, Train Loss: 1.2245, Validation Loss: 2.5396
Epoch 37/1000, Train Loss: 1.4076, Validation Loss: 1.8334
Epoch 38/1000, Train Loss: 1.2444, Validation Loss: 1.7705
Epoch 39/1000, Train Loss: 1.5746, Validation Loss: 3.2839
Epoch 40/1000, Train Loss: 1.5508, Validation Loss: 2.1086
Epoch 41/1000, Train Loss: 1.4101, Validation Loss: 1.8316
Epoch 42/1000, Train Loss: 1.2329, Validation Loss: 6.5656
Epoch 43/1000, Train Loss: 1.1971, Validation Loss: 1.3254
Epoch 44/1000, Train Loss: 1.3078, Validation Loss: 5.3721
Epoch 45/1000, Train Loss: 1.1952, Validation Loss: 2.2012
Epoch 46/1000, Train Loss: 1.1953, Validation Loss: 1.0428
Epoch 47/1000, Train Loss: 1.1208, Validation Loss: 4.3739
Epoch 48/1000, Train Loss: 1.2073, Validation Loss: 1.2074
Epoch 49/1000, Train Loss: 1.2009, Validation Loss: 1.7702
Epoch 50/1000, Train Loss: 1.2582, Validation Loss: 9.6829
Epoch 51/1000, Train Loss: 1.3822, Validation Loss: 3.5496
Epoch 52/1000, Train Loss: 2.0911, Validation Loss: 1.1272
Epoch 53/1000, Train Loss: 1.2536, Validation Loss: 1.1076
