Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-nufb8llt
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 71.2362, Validation Loss: 2.5161
Epoch 2/1000, Train Loss: 2.6598, Validation Loss: 1.6981
Epoch 3/1000, Train Loss: 2.1092, Validation Loss: 2.7889
Epoch 4/1000, Train Loss: 1.8699, Validation Loss: 1.9162
Epoch 5/1000, Train Loss: 1.8179, Validation Loss: 2.0704
Epoch 6/1000, Train Loss: 1.8771, Validation Loss: 5.4883
Epoch 7/1000, Train Loss: 1.8642, Validation Loss: 2.8934
Epoch 8/1000, Train Loss: 2.0334, Validation Loss: 1.5331
Epoch 9/1000, Train Loss: 1.7430, Validation Loss: 1.5982
Epoch 10/1000, Train Loss: 1.8411, Validation Loss: 2.9139
Epoch 11/1000, Train Loss: 1.9689, Validation Loss: 2.2683
Epoch 12/1000, Train Loss: 1.7719, Validation Loss: 3.1361
Epoch 13/1000, Train Loss: 1.6687, Validation Loss: 1.6796
Epoch 14/1000, Train Loss: 6.9890, Validation Loss: 7.3065
Epoch 15/1000, Train Loss: 1.6761, Validation Loss: 5.1937
Epoch 16/1000, Train Loss: 1.6714, Validation Loss: 8.2247
Epoch 17/1000, Train Loss: 1.6006, Validation Loss: 1.3962
Epoch 18/1000, Train Loss: 1.4788, Validation Loss: 2.1324
Epoch 19/1000, Train Loss: 1.5276, Validation Loss: 1.6329
Epoch 20/1000, Train Loss: 1.3924, Validation Loss: 1.3767
Epoch 21/1000, Train Loss: 1.3314, Validation Loss: 6.3462
Epoch 22/1000, Train Loss: 1.2924, Validation Loss: 1.5837
Epoch 23/1000, Train Loss: 19.3278, Validation Loss: 1.6819
Epoch 24/1000, Train Loss: 1.2974, Validation Loss: 2.3489
Epoch 25/1000, Train Loss: 1.1927, Validation Loss: 1.2507
Epoch 26/1000, Train Loss: 1.1852, Validation Loss: 1.5860
Epoch 27/1000, Train Loss: 3.4890, Validation Loss: 1.5235
Epoch 28/1000, Train Loss: 1.2757, Validation Loss: 1.7547
Epoch 29/1000, Train Loss: 1.3145, Validation Loss: 2.1497
Epoch 30/1000, Train Loss: 1.1924, Validation Loss: 1.5147
Epoch 31/1000, Train Loss: 1.1663, Validation Loss: 1.7974
Epoch 32/1000, Train Loss: 1.1908, Validation Loss: 1.4365
Epoch 33/1000, Train Loss: 1.2560, Validation Loss: 1.7062
Epoch 34/1000, Train Loss: 1.3047, Validation Loss: 2.2082
Epoch 35/1000, Train Loss: 1.1940, Validation Loss: 1.9441
Epoch 36/1000, Train Loss: 1.5759, Validation Loss: 2.9713
Epoch 37/1000, Train Loss: 1.2383, Validation Loss: 1.2562
Epoch 38/1000, Train Loss: 1.2108, Validation Loss: 1.3017
Epoch 39/1000, Train Loss: 1.1196, Validation Loss: 2.0727
Epoch 40/1000, Train Loss: 1.1219, Validation Loss: 1.4211
Epoch 41/1000, Train Loss: 1.0917, Validation Loss: 0.9968
Epoch 42/1000, Train Loss: 1.1192, Validation Loss: 1.2529
Epoch 43/1000, Train Loss: 1.1114, Validation Loss: 2.1749
Epoch 44/1000, Train Loss: 1.1293, Validation Loss: 1.8135
Epoch 45/1000, Train Loss: 1.0705, Validation Loss: 0.9946
Epoch 46/1000, Train Loss: 1.1121, Validation Loss: 25.4997
Epoch 47/1000, Train Loss: 1.1364, Validation Loss: 0.9044
Epoch 48/1000, Train Loss: 1.0755, Validation Loss: 1.9853
Epoch 49/1000, Train Loss: 1.0005, Validation Loss: 4.2003
Epoch 50/1000, Train Loss: 1.0233, Validation Loss: 2.3636
Epoch 51/1000, Train Loss: 1.5178, Validation Loss: 1.3964
Epoch 52/1000, Train Loss: 0.9820, Validation Loss: 1.5820
Epoch 53/1000, Train Loss: 1.0347, Validation Loss: 2.2434
Epoch 54/1000, Train Loss: 1.0275, Validation Loss: 1.1219
Epoch 55/1000, Train Loss: 0.9961, Validation Loss: 0.8937
Epoch 56/1000, Train Loss: 1.0155, Validation Loss: 1.1561
Epoch 57/1000, Train Loss: 1.0043, Validation Loss: 2.1348
Epoch 58/1000, Train Loss: 0.9996, Validation Loss: 1.6434
Epoch 59/1000, Train Loss: 1.0163, Validation Loss: 2.3007
Epoch 60/1000, Train Loss: 1.0119, Validation Loss: 2.9333
Epoch 61/1000, Train Loss: 1.0044, Validation Loss: 2.8046
Epoch 62/1000, Train Loss: 1.0244, Validation Loss: 0.8507
Epoch 63/1000, Train Loss: 1.0039, Validation Loss: 1.9418
Epoch 64/1000, Train Loss: 1.0642, Validation Loss: 0.9902
Epoch 65/1000, Train Loss: 0.9942, Validation Loss: 1.2090
Epoch 66/1000, Train Loss: 0.9652, Validation Loss: 7.3378
Epoch 67/1000, Train Loss: 0.9640, Validation Loss: 1.0091
Epoch 68/1000, Train Loss: 0.8901, Validation Loss: 1.7749
Epoch 69/1000, Train Loss: 0.9368, Validation Loss: 11.7860
Epoch 70/1000, Train Loss: 0.9795, Validation Loss: 2.5273
Epoch 71/1000, Train Loss: 0.9374, Validation Loss: 0.9099
Epoch 72/1000, Train Loss: 20.4425, Validation Loss: 1.1570
Epoch 73/1000, Train Loss: 0.9866, Validation Loss: 1.8390
Epoch 74/1000, Train Loss: 0.9986, Validation Loss: 2.6017
Epoch 75/1000, Train Loss: 1.0065, Validation Loss: 2.6999
Epoch 76/1000, Train Loss: 0.9029, Validation Loss: 0.9244
Epoch 77/1000, Train Loss: 0.8134, Validation Loss: 0.8877
Epoch 78/1000, Train Loss: 0.9200, Validation Loss: 1.3248
Epoch 79/1000, Train Loss: 0.8950, Validation Loss: 15.5707
Epoch 80/1000, Train Loss: 0.9972, Validation Loss: 1.7083
Epoch 81/1000, Train Loss: 0.8191, Validation Loss: 0.7911
Epoch 82/1000, Train Loss: 0.9396, Validation Loss: 1.4491
Epoch 83/1000, Train Loss: 0.8845, Validation Loss: 3.7351
Epoch 84/1000, Train Loss: 0.9673, Validation Loss: 1.9144
Epoch 85/1000, Train Loss: 0.9549, Validation Loss: 1.4293
Epoch 86/1000, Train Loss: 0.8298, Validation Loss: 1.1952
