Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-he9rhwsv
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.0703, Validation Loss: 1.4920
Epoch 2/1000, Train Loss: 1.4764, Validation Loss: 1.2769
Epoch 3/1000, Train Loss: 1.4036, Validation Loss: 1.3442
Epoch 4/1000, Train Loss: 1.3057, Validation Loss: 1.4540
Epoch 5/1000, Train Loss: 1.2921, Validation Loss: 2.3750
Epoch 6/1000, Train Loss: 1.1918, Validation Loss: 2.7841
Epoch 7/1000, Train Loss: 1.4366, Validation Loss: 3.0773
Epoch 8/1000, Train Loss: 1.4691, Validation Loss: 1.1919
Epoch 9/1000, Train Loss: 1.2071, Validation Loss: 2.2605
Epoch 10/1000, Train Loss: 1.4735, Validation Loss: 1.6595
Epoch 11/1000, Train Loss: 1.3754, Validation Loss: 2.0449
Epoch 12/1000, Train Loss: 1.5229, Validation Loss: 2.7525
Epoch 13/1000, Train Loss: 1.2972, Validation Loss: 1.4274
Epoch 14/1000, Train Loss: 1.4939, Validation Loss: 1.3516
Epoch 15/1000, Train Loss: 1.3309, Validation Loss: 1.1280
Epoch 16/1000, Train Loss: 1.3316, Validation Loss: 1.1249
Epoch 17/1000, Train Loss: 1.2643, Validation Loss: 1.7467
Epoch 18/1000, Train Loss: 1.3110, Validation Loss: 1.7394
Epoch 19/1000, Train Loss: 1.2727, Validation Loss: 1.0993
Epoch 20/1000, Train Loss: 1.0935, Validation Loss: 1.2133
Epoch 21/1000, Train Loss: 1.1489, Validation Loss: 1.3948
Epoch 22/1000, Train Loss: 1.3361, Validation Loss: 2.6204
Epoch 23/1000, Train Loss: 1.1572, Validation Loss: 1.2393
Epoch 24/1000, Train Loss: 1.0255, Validation Loss: 1.4151
Epoch 25/1000, Train Loss: 0.9759, Validation Loss: 1.4002
Epoch 26/1000, Train Loss: 0.9655, Validation Loss: 1.0299
Epoch 27/1000, Train Loss: 0.9436, Validation Loss: 0.8541
Epoch 28/1000, Train Loss: 0.9176, Validation Loss: 0.8934
Epoch 29/1000, Train Loss: 1.1697, Validation Loss: 0.9195
Epoch 30/1000, Train Loss: 1.0024, Validation Loss: 1.6603
Epoch 31/1000, Train Loss: 1.0091, Validation Loss: 0.9485
Epoch 32/1000, Train Loss: 1.0893, Validation Loss: 1.4504
Epoch 33/1000, Train Loss: 1.2475, Validation Loss: 1.9984
Epoch 34/1000, Train Loss: 1.2429, Validation Loss: 1.2410
Epoch 35/1000, Train Loss: 1.1241, Validation Loss: 0.9473
Epoch 36/1000, Train Loss: 1.0704, Validation Loss: 1.1136
Epoch 37/1000, Train Loss: 1.0542, Validation Loss: 0.9319
Epoch 38/1000, Train Loss: 1.0508, Validation Loss: 1.0120
Epoch 39/1000, Train Loss: 1.1654, Validation Loss: 1.3556
Epoch 40/1000, Train Loss: 1.0117, Validation Loss: 1.3158
Epoch 41/1000, Train Loss: 0.9691, Validation Loss: 2.6086
Epoch 42/1000, Train Loss: 1.1834, Validation Loss: 1.0372
Epoch 43/1000, Train Loss: 1.0799, Validation Loss: 1.5556
Epoch 44/1000, Train Loss: 0.9208, Validation Loss: 1.2000
Epoch 45/1000, Train Loss: 1.0714, Validation Loss: 1.0667
Epoch 46/1000, Train Loss: 0.9094, Validation Loss: 1.5831
Epoch 47/1000, Train Loss: 0.8649, Validation Loss: 2.5383
Epoch 48/1000, Train Loss: 1.1631, Validation Loss: 1.1255
Epoch 49/1000, Train Loss: 0.8841, Validation Loss: 1.4427
Epoch 50/1000, Train Loss: 0.9681, Validation Loss: 0.9766
Epoch 51/1000, Train Loss: 0.8836, Validation Loss: 1.6474
Epoch 52/1000, Train Loss: 1.1383, Validation Loss: 1.0351
Epoch 53/1000, Train Loss: 1.0909, Validation Loss: 1.6649
Epoch 54/1000, Train Loss: 1.0289, Validation Loss: 1.0883
Epoch 55/1000, Train Loss: 0.8348, Validation Loss: 0.9306
Epoch 56/1000, Train Loss: 0.8029, Validation Loss: 1.0715
Epoch 57/1000, Train Loss: 1.0205, Validation Loss: 0.8079
Epoch 58/1000, Train Loss: 0.9288, Validation Loss: 1.2911
Epoch 59/1000, Train Loss: 1.0154, Validation Loss: 1.0976
Epoch 60/1000, Train Loss: 1.0392, Validation Loss: 1.5747
Epoch 61/1000, Train Loss: 0.9547, Validation Loss: 0.9571
Epoch 62/1000, Train Loss: 0.9019, Validation Loss: 2.0616
Epoch 63/1000, Train Loss: 0.9094, Validation Loss: 1.1258
Epoch 64/1000, Train Loss: 0.9031, Validation Loss: 1.0786
Epoch 65/1000, Train Loss: 0.8673, Validation Loss: 1.3289
Epoch 66/1000, Train Loss: 0.8124, Validation Loss: 1.3054
Epoch 67/1000, Train Loss: 0.8501, Validation Loss: 1.2642
Epoch 68/1000, Train Loss: 0.7982, Validation Loss: 0.8708
Epoch 69/1000, Train Loss: 1.1045, Validation Loss: 1.1539
Epoch 70/1000, Train Loss: 1.0309, Validation Loss: 2.7619
Epoch 71/1000, Train Loss: 0.8879, Validation Loss: 3.9591
Epoch 72/1000, Train Loss: 0.9522, Validation Loss: 1.7663
Epoch 73/1000, Train Loss: 1.0136, Validation Loss: 1.1758
Epoch 74/1000, Train Loss: 1.0340, Validation Loss: 0.9218
Epoch 75/1000, Train Loss: 0.7975, Validation Loss: 0.7847
Epoch 76/1000, Train Loss: 0.8516, Validation Loss: 1.2008
Epoch 77/1000, Train Loss: 0.9589, Validation Loss: 1.0558
Epoch 78/1000, Train Loss: 1.0110, Validation Loss: 1.2302
Epoch 79/1000, Train Loss: 0.9614, Validation Loss: 1.2598
Epoch 80/1000, Train Loss: 0.8517, Validation Loss: 1.2484
Epoch 81/1000, Train Loss: 0.8915, Validation Loss: 0.8496
Epoch 82/1000, Train Loss: 0.8482, Validation Loss: 0.9709
Epoch 83/1000, Train Loss: 0.9598, Validation Loss: 0.7933
Epoch 84/1000, Train Loss: 0.8074, Validation Loss: 0.8842
Epoch 85/1000, Train Loss: 0.7627, Validation Loss: 0.9352
Epoch 86/1000, Train Loss: 0.8622, Validation Loss: 0.8864
Epoch 87/1000, Train Loss: 0.8875, Validation Loss: 0.9057
Epoch 88/1000, Train Loss: 1.0193, Validation Loss: 1.2563
Epoch 89/1000, Train Loss: 1.0108, Validation Loss: 0.8178
Epoch 90/1000, Train Loss: 1.0101, Validation Loss: 1.8811
Epoch 91/1000, Train Loss: 0.9091, Validation Loss: 0.8380
Epoch 92/1000, Train Loss: 0.7779, Validation Loss: 0.7909
Epoch 93/1000, Train Loss: 0.7449, Validation Loss: 0.7344
Epoch 94/1000, Train Loss: 0.8389, Validation Loss: 1.0712
Epoch 95/1000, Train Loss: 0.8234, Validation Loss: 1.4111
Epoch 96/1000, Train Loss: 0.9952, Validation Loss: 0.8521
Epoch 97/1000, Train Loss: 0.8189, Validation Loss: 1.6183
Epoch 98/1000, Train Loss: 0.8164, Validation Loss: 1.6481
Epoch 99/1000, Train Loss: 0.8258, Validation Loss: 1.2851
