Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-6sqs9xc2
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.3155, Validation Loss: 2.3616
Epoch 2/1000, Train Loss: 2.0691, Validation Loss: 3.3682
Epoch 3/1000, Train Loss: 1.5316, Validation Loss: 1.9752
Epoch 4/1000, Train Loss: 1.6174, Validation Loss: 1.4705
Epoch 5/1000, Train Loss: 1.6073, Validation Loss: 2.4662
Epoch 6/1000, Train Loss: 1.5215, Validation Loss: 2.5177
Epoch 7/1000, Train Loss: 1.4576, Validation Loss: 2.8685
Epoch 8/1000, Train Loss: 1.3657, Validation Loss: 1.1169
Epoch 9/1000, Train Loss: 1.4602, Validation Loss: 1.6209
Epoch 10/1000, Train Loss: 1.3272, Validation Loss: 1.0789
Epoch 11/1000, Train Loss: 1.1754, Validation Loss: 1.0797
Epoch 12/1000, Train Loss: 1.1436, Validation Loss: 1.0264
Epoch 13/1000, Train Loss: 1.2017, Validation Loss: 1.4133
Epoch 14/1000, Train Loss: 1.4822, Validation Loss: 1.9573
Epoch 15/1000, Train Loss: 1.0945, Validation Loss: 1.0863
Epoch 16/1000, Train Loss: 1.1494, Validation Loss: 1.0871
Epoch 17/1000, Train Loss: 1.1895, Validation Loss: 0.9907
Epoch 18/1000, Train Loss: 1.1526, Validation Loss: 1.0798
Epoch 19/1000, Train Loss: 1.1190, Validation Loss: 2.4735
Epoch 20/1000, Train Loss: 1.0616, Validation Loss: 0.9351
Epoch 21/1000, Train Loss: 1.1014, Validation Loss: 1.5538
Epoch 22/1000, Train Loss: 1.0479, Validation Loss: 4.7046
Epoch 23/1000, Train Loss: 1.0425, Validation Loss: 3.2774
Epoch 24/1000, Train Loss: 1.0763, Validation Loss: 0.8698
Epoch 25/1000, Train Loss: 1.0061, Validation Loss: 1.2996
Epoch 26/1000, Train Loss: 1.0565, Validation Loss: 3.0386
Epoch 27/1000, Train Loss: 0.9708, Validation Loss: 1.3177
Epoch 28/1000, Train Loss: 0.8872, Validation Loss: 1.1264
Epoch 29/1000, Train Loss: 0.8247, Validation Loss: 1.0087
Epoch 30/1000, Train Loss: 0.8549, Validation Loss: 1.4178
Epoch 31/1000, Train Loss: 1.0414, Validation Loss: 1.4964
Epoch 32/1000, Train Loss: 0.9415, Validation Loss: 1.5365
Epoch 33/1000, Train Loss: 0.9448, Validation Loss: 1.7844
Epoch 34/1000, Train Loss: 0.9268, Validation Loss: 1.4591
Epoch 35/1000, Train Loss: 0.9308, Validation Loss: 1.0450
Epoch 36/1000, Train Loss: 0.9849, Validation Loss: 1.3229
Epoch 37/1000, Train Loss: 0.8236, Validation Loss: 0.9032
Epoch 38/1000, Train Loss: 0.7796, Validation Loss: 1.4287
Epoch 39/1000, Train Loss: 0.7822, Validation Loss: 1.6444
Epoch 40/1000, Train Loss: 0.7467, Validation Loss: 2.7242
Epoch 41/1000, Train Loss: 0.7117, Validation Loss: 1.1229
Epoch 42/1000, Train Loss: 0.9115, Validation Loss: 0.7732
Epoch 43/1000, Train Loss: 0.8286, Validation Loss: 0.8227
Epoch 44/1000, Train Loss: 0.7712, Validation Loss: 1.2970
Epoch 45/1000, Train Loss: 0.8032, Validation Loss: 0.8706
Epoch 46/1000, Train Loss: 0.7313, Validation Loss: 0.8951
Epoch 47/1000, Train Loss: 0.8143, Validation Loss: 0.7512
Epoch 48/1000, Train Loss: 0.7898, Validation Loss: 0.7403
Epoch 49/1000, Train Loss: 0.9963, Validation Loss: 1.2294
Epoch 50/1000, Train Loss: 0.9554, Validation Loss: 0.8801
Epoch 51/1000, Train Loss: 0.8647, Validation Loss: 0.9350
Epoch 52/1000, Train Loss: 0.9429, Validation Loss: 0.7921
Epoch 53/1000, Train Loss: 0.7596, Validation Loss: 0.8896
Epoch 54/1000, Train Loss: 0.8087, Validation Loss: 1.4850
Epoch 55/1000, Train Loss: 0.6941, Validation Loss: 0.8562
Epoch 56/1000, Train Loss: 0.7970, Validation Loss: 0.6988
Epoch 57/1000, Train Loss: 0.8290, Validation Loss: 0.8990
Epoch 58/1000, Train Loss: 0.8969, Validation Loss: 1.1828
Epoch 59/1000, Train Loss: 0.8581, Validation Loss: 0.9461
Epoch 60/1000, Train Loss: 0.8204, Validation Loss: 1.0859
Epoch 61/1000, Train Loss: 0.8848, Validation Loss: 1.6888
Epoch 62/1000, Train Loss: 0.8548, Validation Loss: 0.8916
Epoch 63/1000, Train Loss: 0.8299, Validation Loss: 0.9085
Epoch 64/1000, Train Loss: 0.7128, Validation Loss: 0.6901
Epoch 65/1000, Train Loss: 0.7080, Validation Loss: 0.5791
Epoch 66/1000, Train Loss: 0.6734, Validation Loss: 0.6139
Epoch 67/1000, Train Loss: 0.7326, Validation Loss: 2.2973
Epoch 68/1000, Train Loss: 0.6898, Validation Loss: 0.6278
Epoch 69/1000, Train Loss: 0.6824, Validation Loss: 1.0702
Epoch 70/1000, Train Loss: 0.6720, Validation Loss: 1.6448
Epoch 71/1000, Train Loss: 0.6742, Validation Loss: 1.9695
Epoch 72/1000, Train Loss: 0.6492, Validation Loss: 0.6939
Epoch 73/1000, Train Loss: 0.6447, Validation Loss: 1.1939
Epoch 74/1000, Train Loss: 0.6247, Validation Loss: 0.8642
Epoch 75/1000, Train Loss: 0.7407, Validation Loss: 1.4515
Epoch 76/1000, Train Loss: 0.7422, Validation Loss: 1.1456
Epoch 77/1000, Train Loss: 0.8817, Validation Loss: 1.4571
Epoch 78/1000, Train Loss: 0.6618, Validation Loss: 0.5752
Epoch 79/1000, Train Loss: 0.7197, Validation Loss: 1.5541
Epoch 80/1000, Train Loss: 0.7836, Validation Loss: 0.8881
Epoch 81/1000, Train Loss: 0.7783, Validation Loss: 1.0845
Epoch 82/1000, Train Loss: 0.7400, Validation Loss: 2.0205
Epoch 83/1000, Train Loss: 0.7434, Validation Loss: 1.8304
Epoch 84/1000, Train Loss: 0.7010, Validation Loss: 0.6488
Epoch 85/1000, Train Loss: 0.7266, Validation Loss: 1.1255
Epoch 86/1000, Train Loss: 0.7322, Validation Loss: 1.3730
Epoch 87/1000, Train Loss: 0.7994, Validation Loss: 1.1696
Epoch 88/1000, Train Loss: 0.7109, Validation Loss: 1.1609
Epoch 89/1000, Train Loss: 0.7364, Validation Loss: 0.5631
Epoch 90/1000, Train Loss: 0.6678, Validation Loss: 0.6304
Epoch 91/1000, Train Loss: 0.6757, Validation Loss: 1.2982
Epoch 92/1000, Train Loss: 0.6556, Validation Loss: 0.5915
Epoch 93/1000, Train Loss: 0.6471, Validation Loss: 1.3041
Epoch 94/1000, Train Loss: 0.6449, Validation Loss: 0.6433
Epoch 95/1000, Train Loss: 0.6456, Validation Loss: 0.7687
Epoch 96/1000, Train Loss: 0.6188, Validation Loss: 0.6086
Epoch 97/1000, Train Loss: 0.6176, Validation Loss: 0.9228
Epoch 98/1000, Train Loss: 0.7180, Validation Loss: 1.7891
