Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-a7jakc9a
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.4766, Validation Loss: 1.5132
Epoch 2/1000, Train Loss: 1.6876, Validation Loss: 1.4668
Epoch 3/1000, Train Loss: 1.4744, Validation Loss: 1.9600
Epoch 4/1000, Train Loss: 1.2374, Validation Loss: 1.0504
Epoch 5/1000, Train Loss: 1.3859, Validation Loss: 1.7121
Epoch 6/1000, Train Loss: 1.3239, Validation Loss: 1.2597
Epoch 7/1000, Train Loss: 1.1198, Validation Loss: 1.1170
Epoch 8/1000, Train Loss: 1.2331, Validation Loss: 1.4341
Epoch 9/1000, Train Loss: 1.1936, Validation Loss: 1.9788
Epoch 10/1000, Train Loss: 1.2008, Validation Loss: 1.3804
Epoch 11/1000, Train Loss: 1.2170, Validation Loss: 2.6362
Epoch 12/1000, Train Loss: 1.3208, Validation Loss: 1.9996
Epoch 13/1000, Train Loss: 1.3927, Validation Loss: 2.6788
Epoch 14/1000, Train Loss: 1.2003, Validation Loss: 2.4380
Epoch 15/1000, Train Loss: 1.2809, Validation Loss: 2.9209
Epoch 16/1000, Train Loss: 1.3083, Validation Loss: 8.5015
Epoch 17/1000, Train Loss: 1.5484, Validation Loss: 1.1726
Epoch 18/1000, Train Loss: 1.1769, Validation Loss: 1.9058
Epoch 19/1000, Train Loss: 1.1619, Validation Loss: 1.9786
Epoch 20/1000, Train Loss: 1.1680, Validation Loss: 1.6998
Epoch 21/1000, Train Loss: 1.3575, Validation Loss: 1.1836
Epoch 22/1000, Train Loss: 1.3881, Validation Loss: 1.1555
Epoch 23/1000, Train Loss: 1.1819, Validation Loss: 2.0168
Epoch 24/1000, Train Loss: 1.1943, Validation Loss: 1.2739
Epoch 25/1000, Train Loss: 1.1648, Validation Loss: 4.8095
Epoch 26/1000, Train Loss: 1.1337, Validation Loss: 2.3608
Epoch 27/1000, Train Loss: 1.1284, Validation Loss: 3.1332
Epoch 28/1000, Train Loss: 1.1630, Validation Loss: 2.6587
Epoch 29/1000, Train Loss: 1.0909, Validation Loss: 1.3053
Epoch 30/1000, Train Loss: 1.0834, Validation Loss: 2.0415
Epoch 31/1000, Train Loss: 1.1451, Validation Loss: 1.1271
Epoch 32/1000, Train Loss: 1.1230, Validation Loss: 2.6465
Epoch 33/1000, Train Loss: 1.1826, Validation Loss: 5.3773
Epoch 34/1000, Train Loss: 1.1321, Validation Loss: 2.6025
Epoch 35/1000, Train Loss: 1.2830, Validation Loss: 1.2889
Epoch 36/1000, Train Loss: 1.1991, Validation Loss: 2.2107
Epoch 37/1000, Train Loss: 1.1082, Validation Loss: 1.0748
Epoch 38/1000, Train Loss: 1.0217, Validation Loss: 1.6988
Epoch 39/1000, Train Loss: 0.9927, Validation Loss: 3.0919
Epoch 40/1000, Train Loss: 1.1769, Validation Loss: 1.4538
Epoch 41/1000, Train Loss: 1.0417, Validation Loss: 2.7127
Epoch 42/1000, Train Loss: 1.0227, Validation Loss: 1.0374
Epoch 43/1000, Train Loss: 1.1058, Validation Loss: 1.9300
Epoch 44/1000, Train Loss: 0.9610, Validation Loss: 7.9117
Epoch 45/1000, Train Loss: 0.9590, Validation Loss: 3.6367
Epoch 46/1000, Train Loss: 1.1097, Validation Loss: 1.1983
Epoch 47/1000, Train Loss: 0.9851, Validation Loss: 1.8257
Epoch 48/1000, Train Loss: 0.9378, Validation Loss: 2.6554
Epoch 49/1000, Train Loss: 0.9542, Validation Loss: 0.8193
Epoch 50/1000, Train Loss: 0.9529, Validation Loss: 1.2439
Epoch 51/1000, Train Loss: 1.0376, Validation Loss: 3.3453
Epoch 52/1000, Train Loss: 0.9308, Validation Loss: 2.2215
Epoch 53/1000, Train Loss: 0.9251, Validation Loss: 1.1110
Epoch 54/1000, Train Loss: 0.9664, Validation Loss: 0.8071
Epoch 55/1000, Train Loss: 0.9629, Validation Loss: 5.8823
Epoch 56/1000, Train Loss: 0.8466, Validation Loss: 1.3678
Epoch 57/1000, Train Loss: 0.8418, Validation Loss: 0.8479
Epoch 58/1000, Train Loss: 1.1890, Validation Loss: 0.9913
Epoch 59/1000, Train Loss: 1.0170, Validation Loss: 1.8865
Epoch 60/1000, Train Loss: 1.0231, Validation Loss: 1.3502
Epoch 61/1000, Train Loss: 0.9712, Validation Loss: 2.0937
Epoch 62/1000, Train Loss: 0.9778, Validation Loss: 3.2097
Epoch 63/1000, Train Loss: 0.9691, Validation Loss: 2.0619
Epoch 64/1000, Train Loss: 0.8086, Validation Loss: 1.6682
Epoch 65/1000, Train Loss: 1.0038, Validation Loss: 0.9602
Epoch 66/1000, Train Loss: 0.9144, Validation Loss: 0.8635
Epoch 67/1000, Train Loss: 0.8206, Validation Loss: 1.5133
Epoch 68/1000, Train Loss: 0.8396, Validation Loss: 1.7380
Epoch 69/1000, Train Loss: 0.8135, Validation Loss: 0.7153
Epoch 70/1000, Train Loss: 0.8595, Validation Loss: 2.9470
Epoch 71/1000, Train Loss: 1.0136, Validation Loss: 1.1904
Epoch 72/1000, Train Loss: 0.9321, Validation Loss: 1.7326
Epoch 73/1000, Train Loss: 0.8909, Validation Loss: 2.7736
Epoch 74/1000, Train Loss: 0.8394, Validation Loss: 2.2729
Epoch 75/1000, Train Loss: 0.9248, Validation Loss: 1.2048
Epoch 76/1000, Train Loss: 0.8122, Validation Loss: 1.3919
Epoch 77/1000, Train Loss: 0.8428, Validation Loss: 1.8974
Epoch 78/1000, Train Loss: 0.7903, Validation Loss: 2.0731
Epoch 79/1000, Train Loss: 0.9337, Validation Loss: 1.1715
Epoch 80/1000, Train Loss: 0.8051, Validation Loss: 1.3387
Epoch 81/1000, Train Loss: 0.8225, Validation Loss: 3.7147
Epoch 82/1000, Train Loss: 0.8712, Validation Loss: 1.2916
Epoch 83/1000, Train Loss: 0.8151, Validation Loss: 2.8188
Epoch 84/1000, Train Loss: 0.7816, Validation Loss: 0.6552
Epoch 85/1000, Train Loss: 0.7079, Validation Loss: 1.1237
Epoch 86/1000, Train Loss: 0.7437, Validation Loss: 3.5921
Epoch 87/1000, Train Loss: 0.7566, Validation Loss: 1.4707
Epoch 88/1000, Train Loss: 0.7831, Validation Loss: 0.9130
Epoch 89/1000, Train Loss: 0.7667, Validation Loss: 0.9296
Epoch 90/1000, Train Loss: 0.7121, Validation Loss: 7.8598
Epoch 91/1000, Train Loss: 0.7921, Validation Loss: 1.8030
Epoch 92/1000, Train Loss: 0.6890, Validation Loss: 1.9961
Epoch 93/1000, Train Loss: 0.6251, Validation Loss: 0.7956
Epoch 94/1000, Train Loss: 0.6948, Validation Loss: 0.7722
Epoch 95/1000, Train Loss: 0.6757, Validation Loss: 0.6724
Epoch 96/1000, Train Loss: 0.6361, Validation Loss: 1.4636
Epoch 97/1000, Train Loss: 0.6338, Validation Loss: 1.4954
Epoch 98/1000, Train Loss: 0.6440, Validation Loss: 0.8780
