Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-rh1aizgc
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 3.2694, Validation Loss: 1.8728
Epoch 2/1000, Train Loss: 4.1574, Validation Loss: 3.9536
Epoch 3/1000, Train Loss: 2.6633, Validation Loss: 2.0960
Epoch 4/1000, Train Loss: 62.8363, Validation Loss: 6.5871
Epoch 5/1000, Train Loss: 1.8662, Validation Loss: 2.2048
Epoch 6/1000, Train Loss: 1.7094, Validation Loss: 3.5327
Epoch 7/1000, Train Loss: 1.9451, Validation Loss: 4.0882
Epoch 8/1000, Train Loss: 1.7828, Validation Loss: 109.4880
Epoch 9/1000, Train Loss: 94.4841, Validation Loss: 1.2497
Epoch 10/1000, Train Loss: 1.6019, Validation Loss: 2.3077
Epoch 11/1000, Train Loss: 1.7676, Validation Loss: 2.3933
Epoch 12/1000, Train Loss: 1.6237, Validation Loss: 2.9274
Epoch 13/1000, Train Loss: 6.3092, Validation Loss: 6.1724
Epoch 14/1000, Train Loss: 1.5508, Validation Loss: 1.1880
Epoch 15/1000, Train Loss: 1.4564, Validation Loss: 3.3318
Epoch 16/1000, Train Loss: 1.4378, Validation Loss: 1.6307
Epoch 17/1000, Train Loss: 2.0769, Validation Loss: 8.1146
Epoch 18/1000, Train Loss: 1.4664, Validation Loss: 1.9312
Epoch 19/1000, Train Loss: 1.5006, Validation Loss: 3.0314
Epoch 20/1000, Train Loss: 1.4500, Validation Loss: 3.5789
Epoch 21/1000, Train Loss: 1.9718, Validation Loss: 3.3486
Epoch 22/1000, Train Loss: 1.5088, Validation Loss: 1.8897
Epoch 23/1000, Train Loss: 1.3348, Validation Loss: 1.3475
Epoch 24/1000, Train Loss: 1.3188, Validation Loss: 1.1743
Epoch 25/1000, Train Loss: 1.4111, Validation Loss: 1.9992
Epoch 26/1000, Train Loss: 1.4036, Validation Loss: 3.7510
Epoch 27/1000, Train Loss: 1.4906, Validation Loss: 4.7282
Epoch 28/1000, Train Loss: 1.5020, Validation Loss: 9.1391
Epoch 29/1000, Train Loss: 1.3523, Validation Loss: 1.5225
Epoch 30/1000, Train Loss: 1.3693, Validation Loss: 1.6844
Epoch 31/1000, Train Loss: 1.3206, Validation Loss: 1.8519
Epoch 32/1000, Train Loss: 1.3911, Validation Loss: 2.6285
Epoch 33/1000, Train Loss: 1.2844, Validation Loss: 2.8526
Epoch 34/1000, Train Loss: 1.2981, Validation Loss: 1.5397
Epoch 35/1000, Train Loss: 1.3665, Validation Loss: 1.7796
Epoch 36/1000, Train Loss: 1.3258, Validation Loss: 1.2734
Epoch 37/1000, Train Loss: 1.4410, Validation Loss: 1.2909
Epoch 38/1000, Train Loss: 1.2965, Validation Loss: 1.8226
Epoch 39/1000, Train Loss: 1.2041, Validation Loss: 2.2267
Epoch 40/1000, Train Loss: 1.2692, Validation Loss: 1.8705
Epoch 41/1000, Train Loss: 1.2830, Validation Loss: 1.2710
Epoch 42/1000, Train Loss: 1.2304, Validation Loss: 1.9827
Epoch 43/1000, Train Loss: 1.2815, Validation Loss: 2.2692
Epoch 44/1000, Train Loss: 1.2795, Validation Loss: 2.0544
Epoch 45/1000, Train Loss: 1.2672, Validation Loss: 1.3586
Epoch 46/1000, Train Loss: 1.2967, Validation Loss: 1.8925
Epoch 47/1000, Train Loss: 1.2318, Validation Loss: 1.7351
Epoch 48/1000, Train Loss: 1.1723, Validation Loss: 2.3685
Epoch 49/1000, Train Loss: 1.2231, Validation Loss: 1.6687
Epoch 50/1000, Train Loss: 1.1613, Validation Loss: 1.2909
Epoch 51/1000, Train Loss: 1.2255, Validation Loss: 2.0662
Epoch 52/1000, Train Loss: 1.3109, Validation Loss: 1.2812
