Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-wtytbbby
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 6.7014, Validation Loss: 5.5460
Epoch 2/1000, Train Loss: 4.0288, Validation Loss: 5.8095
Epoch 3/1000, Train Loss: 3.5771, Validation Loss: 3.6851
Epoch 4/1000, Train Loss: 3.3288, Validation Loss: 4.6301
Epoch 5/1000, Train Loss: 3.0650, Validation Loss: 4.5122
Epoch 6/1000, Train Loss: 3.0905, Validation Loss: 2.9978
Epoch 7/1000, Train Loss: 3.7805, Validation Loss: 6.0110
Epoch 8/1000, Train Loss: 3.6805, Validation Loss: 4.5279
Epoch 9/1000, Train Loss: 3.2145, Validation Loss: 2.9808
Epoch 10/1000, Train Loss: 2.8892, Validation Loss: 4.5781
Epoch 11/1000, Train Loss: 2.5470, Validation Loss: 5.3796
Epoch 12/1000, Train Loss: 2.6618, Validation Loss: 1.8912
Epoch 13/1000, Train Loss: 2.9673, Validation Loss: 5.3265
Epoch 14/1000, Train Loss: 3.1173, Validation Loss: 4.3293
Epoch 15/1000, Train Loss: 3.6667, Validation Loss: 4.1680
Epoch 16/1000, Train Loss: 3.0283, Validation Loss: 2.3573
Epoch 17/1000, Train Loss: 3.2489, Validation Loss: 4.4984
Epoch 18/1000, Train Loss: 3.1257, Validation Loss: 9.9828
Epoch 19/1000, Train Loss: 2.3642, Validation Loss: 1.4882
Epoch 20/1000, Train Loss: 2.8921, Validation Loss: 2.7860
Epoch 21/1000, Train Loss: 1.9833, Validation Loss: 24.9438
Epoch 22/1000, Train Loss: 2.1005, Validation Loss: 7.5304
Epoch 23/1000, Train Loss: 1.9960, Validation Loss: 2.2730
Epoch 24/1000, Train Loss: 2.0086, Validation Loss: 4.1373
Epoch 25/1000, Train Loss: 1.8700, Validation Loss: 1.5185
Epoch 26/1000, Train Loss: 2.0631, Validation Loss: 8.9899
Epoch 27/1000, Train Loss: 2.0689, Validation Loss: 2.6665
Epoch 28/1000, Train Loss: 3.8431, Validation Loss: 21.8308
Epoch 29/1000, Train Loss: 2.4412, Validation Loss: 1.6203
Epoch 30/1000, Train Loss: 2.0226, Validation Loss: 1.5109
Epoch 31/1000, Train Loss: 2.1090, Validation Loss: 2.6356
Epoch 32/1000, Train Loss: 5.5788, Validation Loss: 2.6520
Epoch 33/1000, Train Loss: 1.8819, Validation Loss: 2.3617
Epoch 34/1000, Train Loss: 1.9057, Validation Loss: 7.9061
Epoch 35/1000, Train Loss: 1.8738, Validation Loss: 3.8895
Epoch 36/1000, Train Loss: 2.0985, Validation Loss: 2.3024
Epoch 37/1000, Train Loss: 1.8425, Validation Loss: 6.6492
Epoch 38/1000, Train Loss: 1.9288, Validation Loss: 1.3727
Epoch 39/1000, Train Loss: 2.3420, Validation Loss: 3.9550
Epoch 40/1000, Train Loss: 2.1353, Validation Loss: 4.6606
Epoch 41/1000, Train Loss: 2.2538, Validation Loss: 4.0081
Epoch 42/1000, Train Loss: 2.1224, Validation Loss: 3.0582
Epoch 43/1000, Train Loss: 1.9071, Validation Loss: 4.5754
Epoch 44/1000, Train Loss: 1.8695, Validation Loss: 2.6415
Epoch 45/1000, Train Loss: 1.6837, Validation Loss: 2.6728
Epoch 46/1000, Train Loss: 1.9179, Validation Loss: 4.8219
Epoch 47/1000, Train Loss: 2.0001, Validation Loss: 5.1291
Epoch 48/1000, Train Loss: 1.7224, Validation Loss: 2.8443
Epoch 49/1000, Train Loss: 1.9584, Validation Loss: 2.0436
Epoch 50/1000, Train Loss: 2.1232, Validation Loss: 1.5262
Epoch 51/1000, Train Loss: 1.9354, Validation Loss: 7.0574
Epoch 52/1000, Train Loss: 1.8554, Validation Loss: 1.7440
Epoch 53/1000, Train Loss: 1.7347, Validation Loss: 2.8214
Epoch 54/1000, Train Loss: 1.7544, Validation Loss: 1.8595
Epoch 55/1000, Train Loss: 1.8342, Validation Loss: 4.4455
Epoch 56/1000, Train Loss: 1.8329, Validation Loss: 2.5693
Epoch 57/1000, Train Loss: 2.0756, Validation Loss: 2.0159
Epoch 58/1000, Train Loss: 1.7076, Validation Loss: 2.7942
Epoch 59/1000, Train Loss: 1.5899, Validation Loss: 2.2667
Epoch 60/1000, Train Loss: 1.7132, Validation Loss: 1.8130
Epoch 61/1000, Train Loss: 1.8709, Validation Loss: 4.8993
Epoch 62/1000, Train Loss: 1.9054, Validation Loss: 3.2883
Epoch 63/1000, Train Loss: 1.6752, Validation Loss: 1.7946
Epoch 64/1000, Train Loss: 1.7470, Validation Loss: 3.5585
Epoch 65/1000, Train Loss: 1.6158, Validation Loss: 1.6362
Epoch 66/1000, Train Loss: 1.7500, Validation Loss: 4.5553
Epoch 67/1000, Train Loss: 1.5820, Validation Loss: 6.7025
Epoch 68/1000, Train Loss: 1.7400, Validation Loss: 5.6132
Epoch 69/1000, Train Loss: 1.7434, Validation Loss: 2.0246
Epoch 70/1000, Train Loss: 1.9850, Validation Loss: 1.5123
Epoch 71/1000, Train Loss: 1.7776, Validation Loss: 9.9193
Epoch 72/1000, Train Loss: 1.7975, Validation Loss: 1.5395
Epoch 73/1000, Train Loss: 1.7603, Validation Loss: 6.1919
Epoch 74/1000, Train Loss: 2.0784, Validation Loss: 4.8660
Epoch 75/1000, Train Loss: 1.8446, Validation Loss: 1.6015
Epoch 76/1000, Train Loss: 1.7880, Validation Loss: 4.7311
Epoch 77/1000, Train Loss: 1.9300, Validation Loss: 4.0214
Epoch 78/1000, Train Loss: 1.9284, Validation Loss: 1.6345
Epoch 79/1000, Train Loss: 1.7452, Validation Loss: 7.7333
Epoch 80/1000, Train Loss: 2.0765, Validation Loss: 3.7236
Epoch 81/1000, Train Loss: 1.8490, Validation Loss: 14.6390
Epoch 82/1000, Train Loss: 2.1095, Validation Loss: 1.4202
Epoch 83/1000, Train Loss: 2.2745, Validation Loss: 2.2766
Epoch 84/1000, Train Loss: 1.8370, Validation Loss: 6.3430
Epoch 85/1000, Train Loss: 2.1942, Validation Loss: 41.4019
Epoch 86/1000, Train Loss: 2.3526, Validation Loss: 2.1765
Epoch 87/1000, Train Loss: 1.9171, Validation Loss: 9.7418
Epoch 88/1000, Train Loss: 2.2691, Validation Loss: 1.6536
Epoch 89/1000, Train Loss: 1.8718, Validation Loss: 1.4131
Epoch 90/1000, Train Loss: 2.1530, Validation Loss: 4.3513
Epoch 91/1000, Train Loss: 1.7675, Validation Loss: 3.4111
Epoch 92/1000, Train Loss: 1.8569, Validation Loss: 3.1135
Epoch 93/1000, Train Loss: 1.8512, Validation Loss: 1.8879
Epoch 94/1000, Train Loss: 2.0906, Validation Loss: 6.4857
Epoch 95/1000, Train Loss: 2.0826, Validation Loss: 10.0959
Epoch 96/1000, Train Loss: 1.7810, Validation Loss: 2.5714
Epoch 97/1000, Train Loss: 1.8350, Validation Loss: 5.2298
Epoch 98/1000, Train Loss: 1.9134, Validation Loss: 1.8402
Epoch 99/1000, Train Loss: 2.1313, Validation Loss: 2.3057
Epoch 100/1000, Train Loss: 1.7647, Validation Loss: 7.7158
Epoch 101/1000, Train Loss: 1.9331, Validation Loss: 2.6510
Epoch 102/1000, Train Loss: 1.9796, Validation Loss: 28.5285
Epoch 103/1000, Train Loss: 2.6376, Validation Loss: 3.3248
Epoch 104/1000, Train Loss: 1.9587, Validation Loss: 2.6158
Epoch 105/1000, Train Loss: 1.8403, Validation Loss: 4.2802
Epoch 106/1000, Train Loss: 1.6700, Validation Loss: 3.3898
Epoch 107/1000, Train Loss: 45.9544, Validation Loss: 20.3775
Epoch 108/1000, Train Loss: 32.7706, Validation Loss: 2.4661
Epoch 109/1000, Train Loss: 1.6338, Validation Loss: 4.0344
Epoch 110/1000, Train Loss: 7.4463, Validation Loss: 5.0730
Epoch 111/1000, Train Loss: 2.0451, Validation Loss: 1.8094
Epoch 112/1000, Train Loss: 2.5564, Validation Loss: 1.3589
Epoch 113/1000, Train Loss: 1.6604, Validation Loss: 2.2180
Epoch 114/1000, Train Loss: 1.5066, Validation Loss: 3.9214
Epoch 115/1000, Train Loss: 1.4473, Validation Loss: 6.6239
Epoch 116/1000, Train Loss: 1.3783, Validation Loss: 2.8296
Epoch 117/1000, Train Loss: 2.6599, Validation Loss: 9.1346
Epoch 118/1000, Train Loss: 1.4471, Validation Loss: 6.7874
Epoch 119/1000, Train Loss: 6.8924, Validation Loss: 3.6109
Epoch 120/1000, Train Loss: 1.8440, Validation Loss: 2.9236
Epoch 121/1000, Train Loss: 1.6783, Validation Loss: 10.6429
Epoch 122/1000, Train Loss: 1.9328, Validation Loss: 2.9249
Epoch 123/1000, Train Loss: 4.0032, Validation Loss: 3.2121
Epoch 124/1000, Train Loss: 1.6039, Validation Loss: 2.8821
Epoch 125/1000, Train Loss: 1.5464, Validation Loss: 846.0153
Epoch 126/1000, Train Loss: 2.3974, Validation Loss: 2.8781
Epoch 127/1000, Train Loss: 1.5602, Validation Loss: 4.3956
Epoch 128/1000, Train Loss: 1.7421, Validation Loss: 5.8366
Epoch 129/1000, Train Loss: 1.7049, Validation Loss: 3.0114
Epoch 130/1000, Train Loss: 1.5773, Validation Loss: 3.1146
Epoch 131/1000, Train Loss: 2.4793, Validation Loss: 3.5383
Epoch 132/1000, Train Loss: 2.1445, Validation Loss: 3.3323
Epoch 133/1000, Train Loss: 1.7153, Validation Loss: 2.1949
Epoch 134/1000, Train Loss: 10.5136, Validation Loss: 1.6107
Epoch 135/1000, Train Loss: 1.4310, Validation Loss: 3.1161
Epoch 136/1000, Train Loss: 1.3873, Validation Loss: 5.6649
Epoch 137/1000, Train Loss: 1.8519, Validation Loss: 1.3573
Epoch 138/1000, Train Loss: 6.1890, Validation Loss: 6.3173
Epoch 139/1000, Train Loss: 1.5646, Validation Loss: 1.6601
Epoch 140/1000, Train Loss: 462.9533, Validation Loss: 3.6399
Epoch 141/1000, Train Loss: 1.4321, Validation Loss: 1.6586
Epoch 142/1000, Train Loss: 1.3781, Validation Loss: 4.9079
Epoch 143/1000, Train Loss: 2.0915, Validation Loss: 1.6530
Epoch 144/1000, Train Loss: 1.3645, Validation Loss: 1.6921
Epoch 145/1000, Train Loss: 1.8146, Validation Loss: 2.0621
Epoch 146/1000, Train Loss: 1.4322, Validation Loss: 1.1142
Epoch 147/1000, Train Loss: 1.6079, Validation Loss: 3.3687
Epoch 148/1000, Train Loss: 1.4101, Validation Loss: 4.8487
Epoch 149/1000, Train Loss: 1.4232, Validation Loss: 1.2811
Epoch 150/1000, Train Loss: 1.5312, Validation Loss: 4.2943
Epoch 151/1000, Train Loss: 1.4523, Validation Loss: 5.0812
Epoch 152/1000, Train Loss: 1.8639, Validation Loss: 4.3963
Epoch 153/1000, Train Loss: 2.6344, Validation Loss: 6.1265
Epoch 154/1000, Train Loss: 1.4350, Validation Loss: 1.6799
Epoch 155/1000, Train Loss: 1.5860, Validation Loss: 1.4646
Epoch 156/1000, Train Loss: 1.6903, Validation Loss: 5.7634
Epoch 157/1000, Train Loss: 1.4886, Validation Loss: 1.2619
Epoch 158/1000, Train Loss: 1.7501, Validation Loss: 5.8280
Epoch 159/1000, Train Loss: 23.1266, Validation Loss: 2.3165
Epoch 160/1000, Train Loss: 1.5313, Validation Loss: 1.4481
Epoch 161/1000, Train Loss: 94.3284, Validation Loss: 8.6301
Epoch 162/1000, Train Loss: 2.2126, Validation Loss: 2.7832
Epoch 163/1000, Train Loss: 1.8637, Validation Loss: 6.5879
Epoch 164/1000, Train Loss: 2.2408, Validation Loss: 3.6242
Epoch 165/1000, Train Loss: 6.0068, Validation Loss: 2.2288
Epoch 166/1000, Train Loss: 3.7597, Validation Loss: 7.0785
Epoch 167/1000, Train Loss: 52.7000, Validation Loss: 3.7365
Epoch 168/1000, Train Loss: 2.0555, Validation Loss: 2.1245
Epoch 169/1000, Train Loss: 1.8304, Validation Loss: 2.1201
Epoch 170/1000, Train Loss: 2.0655, Validation Loss: 2.2536
Epoch 171/1000, Train Loss: 2.2377, Validation Loss: 3.7804
Epoch 172/1000, Train Loss: 1007.0683, Validation Loss: 3.1442
Epoch 173/1000, Train Loss: 2.1264, Validation Loss: 1.2619
Epoch 174/1000, Train Loss: 361.7714, Validation Loss: 6.8666
Epoch 175/1000, Train Loss: 27.6670, Validation Loss: 6.1050
Epoch 176/1000, Train Loss: 29.6519, Validation Loss: 6.1317
Epoch 177/1000, Train Loss: 12.5920, Validation Loss: 6.2441
Epoch 178/1000, Train Loss: 9.0933, Validation Loss: 6.0907
Epoch 179/1000, Train Loss: 6.5057, Validation Loss: 6.2938
Epoch 180/1000, Train Loss: 6.2227, Validation Loss: 6.0728
Epoch 181/1000, Train Loss: 6.8357, Validation Loss: 6.3804
Epoch 182/1000, Train Loss: 6.3783, Validation Loss: 6.0875
Epoch 183/1000, Train Loss: 8.5627, Validation Loss: 6.1115
Epoch 184/1000, Train Loss: 6.9765, Validation Loss: 6.0940
Epoch 185/1000, Train Loss: 6.2533, Validation Loss: 6.4540
Epoch 186/1000, Train Loss: 17.9192, Validation Loss: 6.0702
Epoch 187/1000, Train Loss: 6.2733, Validation Loss: 6.0788
Epoch 188/1000, Train Loss: 667.7069, Validation Loss: 6.2344
Epoch 189/1000, Train Loss: 6.3115, Validation Loss: 6.2658
Epoch 190/1000, Train Loss: 6.9916, Validation Loss: 6.0706
Epoch 191/1000, Train Loss: 10.1338, Validation Loss: 6.4467
Epoch 192/1000, Train Loss: 144.6577, Validation Loss: 6.0692
Epoch 193/1000, Train Loss: 14.8635, Validation Loss: 6.1738
Epoch 194/1000, Train Loss: 17.2025, Validation Loss: 6.3776
Epoch 195/1000, Train Loss: 6.2681, Validation Loss: 6.1270
Epoch 196/1000, Train Loss: 13.0669, Validation Loss: 6.0944
Epoch 197/1000, Train Loss: 8.8825, Validation Loss: 6.0690
Epoch 198/1000, Train Loss: 1537.5025, Validation Loss: 6.1666
Epoch 199/1000, Train Loss: 6.2175, Validation Loss: 6.0833
Epoch 200/1000, Train Loss: 6.2757, Validation Loss: 6.2964
Epoch 201/1000, Train Loss: 6.3038, Validation Loss: 6.0694
Epoch 202/1000, Train Loss: 14.7425, Validation Loss: 6.0730
