Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-p72fudsz
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 2.6213, Validation Loss: 3.1223
Epoch 2/1000, Train Loss: 2.4647, Validation Loss: 2.1242
Epoch 3/1000, Train Loss: 1.7671, Validation Loss: 2.0840
Epoch 4/1000, Train Loss: 1.6459, Validation Loss: 2.5306
Epoch 5/1000, Train Loss: 1.6928, Validation Loss: 1.2593
Epoch 6/1000, Train Loss: 1.4491, Validation Loss: 12.5416
Epoch 7/1000, Train Loss: 1.6821, Validation Loss: 1.8054
Epoch 8/1000, Train Loss: 1.5263, Validation Loss: 2.2470
Epoch 9/1000, Train Loss: 1.6152, Validation Loss: 9.3583
Epoch 10/1000, Train Loss: 1.5028, Validation Loss: 2.0224
Epoch 11/1000, Train Loss: 1.5674, Validation Loss: 12.5672
Epoch 12/1000, Train Loss: 1.5963, Validation Loss: 1.6933
Epoch 13/1000, Train Loss: 1.5236, Validation Loss: 3.3920
Epoch 14/1000, Train Loss: 1.4923, Validation Loss: 1.9575
Epoch 15/1000, Train Loss: 1.4029, Validation Loss: 1.1999
Epoch 16/1000, Train Loss: 2.5000, Validation Loss: 1.3932
Epoch 17/1000, Train Loss: 1.3390, Validation Loss: 2.7826
Epoch 18/1000, Train Loss: 1.2866, Validation Loss: 2.5075
Epoch 19/1000, Train Loss: 1.2218, Validation Loss: 1.8362
Epoch 20/1000, Train Loss: 1.2370, Validation Loss: 1.8209
Epoch 21/1000, Train Loss: 1.2250, Validation Loss: 2.1463
Epoch 22/1000, Train Loss: 1.2695, Validation Loss: 2.3918
Epoch 23/1000, Train Loss: 1.3329, Validation Loss: 1.9522
Epoch 24/1000, Train Loss: 1.2410, Validation Loss: 5.1671
Epoch 25/1000, Train Loss: 1.1941, Validation Loss: 0.9554
Epoch 26/1000, Train Loss: 1.1531, Validation Loss: 2.3834
Epoch 27/1000, Train Loss: 1.1892, Validation Loss: 1.0407
Epoch 28/1000, Train Loss: 1.1869, Validation Loss: 1.1310
Epoch 29/1000, Train Loss: 1.1717, Validation Loss: 2.5535
Epoch 30/1000, Train Loss: 1.1743, Validation Loss: 1.7053
Epoch 31/1000, Train Loss: 1.1330, Validation Loss: 1.1909
Epoch 32/1000, Train Loss: 1.0774, Validation Loss: 2.2054
Epoch 33/1000, Train Loss: 1.1656, Validation Loss: 1.8615
Epoch 34/1000, Train Loss: 1.1071, Validation Loss: 1.3632
Epoch 35/1000, Train Loss: 1.3836, Validation Loss: 0.8931
Epoch 36/1000, Train Loss: 1.1681, Validation Loss: 1.2703
Epoch 37/1000, Train Loss: 1.1214, Validation Loss: 1.1665
Epoch 38/1000, Train Loss: 1.1687, Validation Loss: 1.4979
Epoch 39/1000, Train Loss: 1.1570, Validation Loss: 1.3337
Epoch 40/1000, Train Loss: 1.0989, Validation Loss: 10.2796
Epoch 41/1000, Train Loss: 1.1600, Validation Loss: 1.9098
Epoch 42/1000, Train Loss: 1.1010, Validation Loss: 1.4191
Epoch 43/1000, Train Loss: 1.1152, Validation Loss: 2.6753
Epoch 44/1000, Train Loss: 1.0957, Validation Loss: 0.9136
Epoch 45/1000, Train Loss: 1.0924, Validation Loss: 1.2110
Epoch 46/1000, Train Loss: 1.0982, Validation Loss: 2.1467
Epoch 47/1000, Train Loss: 1.0660, Validation Loss: 1.5884
Epoch 48/1000, Train Loss: 1.0565, Validation Loss: 1.1319
