Waiting for sweep ID...
Found Sweep ID: mof3aj3v
Starting wandb agent for sweep mof3aj3v...
TRAINING DEVICE: cpu
Run Name: GIN_sag_hp_sweep_sag_mof3aj3v-3su3ub1v
finidhed preparing data
Loading dataset from pretrain_dataset_12.5k_fixed_duplicates.pkl
Loaded 412712 data objects.
finished preparing data
Epoch 1/1000, Train Loss: 7.4058, Validation Loss: 4.2344
Epoch 2/1000, Train Loss: 4.1503, Validation Loss: 1.8676
Epoch 3/1000, Train Loss: 2.5197, Validation Loss: 2.5086
Epoch 4/1000, Train Loss: 2.2742, Validation Loss: 2.3027
Epoch 5/1000, Train Loss: 2.9571, Validation Loss: 4.0994
Epoch 6/1000, Train Loss: 2.4255, Validation Loss: 2.9167
Epoch 7/1000, Train Loss: 2.3444, Validation Loss: 3.2925
Epoch 8/1000, Train Loss: 3.0121, Validation Loss: 2.6432
Epoch 9/1000, Train Loss: 2.1372, Validation Loss: 2.0712
Epoch 10/1000, Train Loss: 2.0319, Validation Loss: 3.2640
Epoch 11/1000, Train Loss: 2.4183, Validation Loss: 1.5488
Epoch 12/1000, Train Loss: 1.9935, Validation Loss: 10.3781
Epoch 13/1000, Train Loss: 2.2977, Validation Loss: 7.0467
Epoch 14/1000, Train Loss: 2.3954, Validation Loss: 4.6987
Epoch 15/1000, Train Loss: 2.0558, Validation Loss: 5.1629
Epoch 16/1000, Train Loss: 2.4955, Validation Loss: 4.2855
Epoch 17/1000, Train Loss: 2.1493, Validation Loss: 2.1378
Epoch 18/1000, Train Loss: 2.2370, Validation Loss: 2.6900
Epoch 19/1000, Train Loss: 2.3988, Validation Loss: 6.8830
Epoch 20/1000, Train Loss: 3.4548, Validation Loss: 2.3818
Epoch 21/1000, Train Loss: 2.6085, Validation Loss: 2.1362
Epoch 22/1000, Train Loss: 3.3877, Validation Loss: 9.6801
Epoch 23/1000, Train Loss: 3.4894, Validation Loss: 5.6028
Epoch 24/1000, Train Loss: 3.6626, Validation Loss: 4.8059
Epoch 25/1000, Train Loss: 2.9996, Validation Loss: 2.1830
Epoch 26/1000, Train Loss: 2.9994, Validation Loss: 4.1503
Epoch 27/1000, Train Loss: 2.2201, Validation Loss: 3.3375
Epoch 28/1000, Train Loss: 2.1920, Validation Loss: 1.9615
Epoch 29/1000, Train Loss: 1.8256, Validation Loss: 5.3231
Epoch 30/1000, Train Loss: 2.2056, Validation Loss: 2.8441
Epoch 31/1000, Train Loss: 2.3276, Validation Loss: 6.3322
Epoch 32/1000, Train Loss: 1.7401, Validation Loss: 1.9265
Epoch 33/1000, Train Loss: 1.9509, Validation Loss: 2.4013
Epoch 34/1000, Train Loss: 1.7653, Validation Loss: 19.7381
Epoch 35/1000, Train Loss: 1.7684, Validation Loss: 1.7734
Epoch 36/1000, Train Loss: 1.5381, Validation Loss: 1.5853
Epoch 37/1000, Train Loss: 1.3838, Validation Loss: 2.8591
Epoch 38/1000, Train Loss: 1.7448, Validation Loss: 6.9272
Epoch 39/1000, Train Loss: 1.8187, Validation Loss: 3.8321
Epoch 40/1000, Train Loss: 1.6914, Validation Loss: 5.4946
Epoch 41/1000, Train Loss: 1.3754, Validation Loss: 3.0369
Epoch 42/1000, Train Loss: 1.4948, Validation Loss: 12.3853
Epoch 43/1000, Train Loss: 472.9487, Validation Loss: 3.6725
Epoch 44/1000, Train Loss: 1.6510, Validation Loss: 5.6297
Epoch 45/1000, Train Loss: 1.7632, Validation Loss: 3.2824
Epoch 46/1000, Train Loss: 1.4334, Validation Loss: 3.1164
Epoch 47/1000, Train Loss: 1.4557, Validation Loss: 5.2906
Epoch 48/1000, Train Loss: 1.3342, Validation Loss: 3.5098
Epoch 49/1000, Train Loss: 1.2746, Validation Loss: 3.0450
Epoch 50/1000, Train Loss: 1.1837, Validation Loss: 1.9752
Epoch 51/1000, Train Loss: 1.2925, Validation Loss: 6.9912
Epoch 52/1000, Train Loss: 1.3574, Validation Loss: 1.0201
Epoch 53/1000, Train Loss: 1.2399, Validation Loss: 2.1761
Epoch 54/1000, Train Loss: 107.8589, Validation Loss: 4.2947
Epoch 55/1000, Train Loss: 1.9622, Validation Loss: 1.4279
Epoch 56/1000, Train Loss: 1.4458, Validation Loss: 4.1916
Epoch 57/1000, Train Loss: 1.3725, Validation Loss: 1.7855
Epoch 58/1000, Train Loss: 2.3799, Validation Loss: 1.7238
Epoch 59/1000, Train Loss: 2.1173, Validation Loss: 60.8066
Epoch 60/1000, Train Loss: 1.2980, Validation Loss: 1.6750
Epoch 61/1000, Train Loss: 1.8688, Validation Loss: 7.2325
Epoch 62/1000, Train Loss: 156.5647, Validation Loss: 2.2603
Epoch 63/1000, Train Loss: 2.2817, Validation Loss: 1.7598
Epoch 64/1000, Train Loss: 2.8549, Validation Loss: 2.3554
Epoch 65/1000, Train Loss: 2.0468, Validation Loss: 4.4717
Epoch 66/1000, Train Loss: 1.8499, Validation Loss: 3.0611
Epoch 67/1000, Train Loss: 1.8933, Validation Loss: 1.7727
Epoch 68/1000, Train Loss: 1.7002, Validation Loss: 10.9783
Epoch 69/1000, Train Loss: 1.5932, Validation Loss: 2.8462
Epoch 70/1000, Train Loss: 1.5471, Validation Loss: 8.7048
Epoch 71/1000, Train Loss: 1.5439, Validation Loss: 1.1318
Epoch 72/1000, Train Loss: 1.5073, Validation Loss: 18.1773
Epoch 73/1000, Train Loss: 1.5322, Validation Loss: 1.1580
Epoch 74/1000, Train Loss: 2.8565, Validation Loss: 1.6647
Epoch 75/1000, Train Loss: 1.5911, Validation Loss: 5.6481
Epoch 76/1000, Train Loss: 1.5327, Validation Loss: 1.8320
Epoch 77/1000, Train Loss: 3.4028, Validation Loss: 5.5556
Epoch 78/1000, Train Loss: 1.7648, Validation Loss: 2.0941
Epoch 79/1000, Train Loss: 1.6492, Validation Loss: 6.1631
Epoch 80/1000, Train Loss: 2.0635, Validation Loss: 5.5620
Epoch 81/1000, Train Loss: 1.5095, Validation Loss: 3.3992
Epoch 82/1000, Train Loss: 1.3558, Validation Loss: 2.4551
Epoch 83/1000, Train Loss: 3.4463, Validation Loss: 1.5467
Epoch 84/1000, Train Loss: 2.1288, Validation Loss: 2.9977
Epoch 85/1000, Train Loss: 2.1142, Validation Loss: 4.9596
Epoch 86/1000, Train Loss: 5.5647, Validation Loss: 2.3813
Epoch 87/1000, Train Loss: 1.4617, Validation Loss: 3.0845
Epoch 88/1000, Train Loss: 1.3360, Validation Loss: 2.0196
Epoch 89/1000, Train Loss: 1.3878, Validation Loss: 2.0779
Epoch 90/1000, Train Loss: 1.3524, Validation Loss: 9.1868
Epoch 91/1000, Train Loss: 1.3635, Validation Loss: 4.6253
Epoch 92/1000, Train Loss: 126.9568, Validation Loss: 4.3932
